qid,category,subcategory,level,answer,pred,response
2,Semantics,Conjunctions,2,B,B,"첫 칸은 일정이 없는 결과로 시간이 생겼다는 인과 관계이므로 '덕분에'가 자연스럽고, 둘째 칸은 공부 시간이 생겼지만 잡무도 많았다는 역접이므로 '하지만', 셋째 칸은 그 결과 공부를 못했다는 귀결이므로 '따라서', 마지막은 못했지만 가능성 자체가 중요하다는 양보이므로 '그래도'가 적절하다.

### ANSWER
B"
3,Semantics,Rhetorical Expressions,3,A,C,"The passage describes an urgent, high-pressure situation where the company must rush to release the prototype or lose funding. All the other options convey urgency, desperation, or need for luck/help, whereas ""quick surrender is recommended"" directly contradicts the company's struggle to meet the deadline.

### ANSWER
C"
350,Syntax,Argument Structure & Valency,1,A,A,"""제안하다""는 '누가 누구에게 무엇을'을 요구하는 세 자리 서술어입니다(팀에서, 프로게이머에게, 연봉을). 다른 선택지들은 대체로 한 자리(기진맥진하다, 통곡하다, 쉬다) 또는 두 자리(흉보다, 시행하다, 복원되다, 명심하다, 누비다, 화풀이하다) 서술어입니다.

### ANSWER
A"
351,Syntax,Argument Structure & Valency,2,A,A,"박다는 '누가(주어) 무엇을(목적어) 어디에(부사어) 박다'처럼 필수 성분이 셋인 세 자리 서술어입니다. 반면 식다·타오르다·돋아나다·물놀이하다는 한 자리, 엎다·남기다·쉬다·풀다·접다는 주어와 목적어만 요구하는 두 자리 서술어입니다(E의 '식탁보에'는 수의적 부사어).

### ANSWER
A"
352,Semantics,Ambiguity,3,J,J,"The sentence is doubly ambiguous: ""그"" (유민/지우) and the scope of ""좋아한"" (직원 vs. 직원의 지인). Option J only fixes the pronoun reference, leaving the scope ambiguity — 지우 could have liked the 직원 or the 지인 — so it is not reduced to one meaning. Other options either add commas/reorder to fix scope or remove the modifier entirely.

### ANSWER
J"
353,Syntax,Argument Structure & Valency,3,E,E,"설치하다는 '누가 무엇을 어디에 설치하다'처럼 주어, 목적어, 부사어(장소)를 모두 필수적으로 요구하는 세 자리 서술어입니다. 나머지는 주어만(들뜨다, 좁아지다) 또는 주어+목적어/필수부사어(으깨다, 반하다, 집착하다, 졸라매다, 패스하다)로 두 자리 이하입니다. 특히 C의 '숟가락으로'나 J의 '세게'는 수의적 성분입니다.

### ANSWER
E"
179,Phonetics/Phonology,Phonological Alternation,2,C,C,"값[갑], 외곬[외골], 맑게[말께]는 모두 겹받침 중 한 자음이 탈락하는 자음군 단순화가 일어납니다. 묽고·삶·여덟·읊고·젊다·훑고·넋·닭도 모두 겹받침에서 자음이 탈락합니다. 그러나 '밖'은 겹받침이 아닌 쌍받침으로, 음절의 끝소리 규칙에 따른 교체(ㄲ→ㄱ)만 일어나므로 자음군 단순화가 아닙니다.

### ANSWER
C"
180,Pragmatics,Speech Acts,2,E,E,"E는 화자가 자신의 행위를 약속하는 언약 행위로, 청자에게 무엇을 하도록 요구하는 지시 화행이 아니다. 나머지는 모두 직·간접적으로 청자의 행동(조용히 하기, 대신 해주기, 빌려주기, 밥 챙겨 먹기, 노래 줄이기 등)을 유도하는 명령·요청 발화이다.

### ANSWER
E"
181,Pragmatics,Speech Acts,1,A,A,"약속이나 의지를 나타내는 '-을게요'는 화자가 자신의 행동을 미리 정해 두는 발화이다. A는 화자가 스스로 알려 드리겠다고 다짐하는 약속 표현이다. 나머지는 추측, 완곡한 요청, 소망 등의 의미이다.

### ANSWER
A"
182,Pragmatics,Speech Acts,2,G,G,"수사 의문문인 ""내가 뭘 피구를 못하냐?""는 형식은 의문문이지만 실제 의도는 '나는 피구를 잘한다'는 단언(평서)이므로, 문장 유형과 발화 의도가 어긋나는 간접 표현의 대표적 예이다. 다른 선택지들은 대체로 형식과 의도가 일치하거나(질문·명령·평서), 혹은 애매하게 해석될 수 있다.

### ANSWER
G"
529,Semantics,Numeral Classifiers,2,E,E,"금은 무게 단위(돈·냥·킬로그램)로 거래되므로 병·박스·척·단·말·관 등은 부적절합니다. 또한 기업의 잉여 현금 투자 규모로는 두 돈이나 한 냥은 지나치게 소량입니다. 회사 차원의 투자 규모와 단위가 모두 자연스러운 것은 30킬로그램 투자 답변입니다.

### ANSWER
E"
530,Semantics,Numeral Classifiers,1,I,I,"오이는 얇은 종이류에 쓰는 단위 명사 '장'과 결합할 수 없고, '한 개' 또는 '한 조각' 등이 적절하다. 다른 문장들은 각 사물에 맞는 단위 명사(권, 개, 보루, 바구니, 다발, 송이, 자루, 대)를 올바르게 사용했다. 따라서 '오이 한 장'이 가장 어색하다.

### ANSWER
I"
531,Semantics,Numeral Classifiers,1,E,E,"""필(匹)""은 말이나 소, 또는 옷감을 세는 단위이므로 고양이에는 쓸 수 없고, 고양이는 ""한 마리""라고 해야 자연스럽습니다. 다른 문장들의 단위명사(장, 켤레, 덩이, 대, 병, 소쿠리, 팩, 점, 마리)는 각 대상과 잘 어울립니다.

### ANSWER
E"
532,Syntax,Embedded Clauses,3,I,I,"'본 미술관'의 '본'은 관형사(또는 관형절)로 볼 수 있어 안긴 문장 요소가 있고, 나머지 A~H, J는 명사절·관형절·부사절·인용절·서술절을 안고 있다. 반면 I의 ""사서님, 이 서점의 베스트셀러는 무엇인가요?""는 호격어와 주어·서술어 관계가 한 번만 나타나는 홑문장으로, 안긴 절이 없다.

### ANSWER
I"
354,Semantics,Ambiguity,1,G,G,"어순을 바꾼 ""친구의 책을 그는 좋아한다.""도 '친구가 소유한 책/친구가 쓴 책/친구를 그린 책' 등으로 여전히 여러 해석이 가능하므로 중의성이 해소되지 않는다. 나머지 진술들은 각 문장의 중의성과 해소 방법을 올바르게 설명하고 있다.

### ANSWER
G"
355,Syntax,Agreement,2,A,E,"""에게""는 상대를 나타내므로 대부분 자연스럽게 호응하지만, E는 목적어 '바짓가랑이'의 소유주가 명창이어야 하므로 '명창의 바짓가랑이를 붙잡고'가 되어야 한다. '명창에게'와 '바짓가랑이를 붙잡고'가 직접 호응하지 못해 문장이 어색하다. 나머지는 모두 '에게'가 요구되는 서술어와 잘 결합한다.

### ANSWER
E"
356,Syntax,Agreement,2,F,F,"""절대""는 부정 표현과 호응하는 부사이므로 뒤에 부정문이 와야 합니다. F의 ""매서운 겨울이 올 것이다""는 긍정 서술로 부정 표현이 없어 ""절대""와 호응하지 않습니다. 나머지 선택지는 모두 ""-지 마라"", ""않는다"", ""안 된다"" 등의 부정 표현을 포함합니다.

### ANSWER
F"
357,Semantics,Inter-sentence Relations,2,F,F,"지문에서 요청한 것은 음식과 옷이므로, 요거트·김치·여름옷·외투 등 관련 물품 언급은 자연스럽다. 그러나 전자제품은 요청 내용에 전혀 없는 항목이므로 답변으로 적절하지 않다.

### ANSWER
F"
183,Pragmatics,Speech Acts,3,G,G,"수사적 의문문은 형식은 질문이지만 실제 의도는 진술이다. ""반납하러 갈 시간이 없는 게 내 잘못이야?""는 '내 잘못이 아니다'라는 진술의 의도를 담고 있다. 반면 '내가 너를 하루이틀 보니?', '걔가 손 하나 까딱하는 것 봤어?'도 질문이 아닌 진술이며, '반납 좀 제때제때 하자'는 명령의 의도, '네 동생한테 갔다 오라고 해'는 명령이다.

### ANSWER
G"
184,Phonetics/Phonology,Phonological Alternation,2,B,B,"값[갑]은 겹받침 중 하나가 탈락하는 자음군 단순화 현상이다. 나머지 예들은 모두 서로 다른 두 자음으로 된 겹받침에서 하나가 탈락한다. 그러나 '깎다[깍따]'는 쌍받침 'ㄲ'이 대표음 'ㄱ'으로 바뀌는 음절의 끝소리 규칙(평파열음화)이 적용된 것이므로 자음군 단순화가 아니다.

### ANSWER
B"
185,Pragmatics,Speech Acts,1,D,D,"이 발화는 정보를 얻기 위한 '질문'에 해당한다. A·G는 요청/명령, B·J는 감정 표현, E·I는 청유, F는 약속, C·H는 단순 진술이다. D는 형식상 진술문처럼 보이지만 기한에 대한 정보를 구하는 질문 기능을 수행한다.

### ANSWER
D"
186,Phonetics/Phonology,Phonological Alternation,3,C,C,"받침 뒤에 모음으로 시작하는 형식형태소(조사)가 오면 받침이 그대로 연음되어 대표음으로 바뀌지 않습니다. '밭을'은 [바틀]로 발음되어 끝소리 규칙이 적용되지 않으며, 나머지는 모두 자음이나 자립적 환경에서 대표음(ㄷ, ㅂ, ㄱ)으로 교체됩니다.

### ANSWER
C"
533,Syntax,Agreement,1,B,B,"‘-겠’은 의지·능력·추측 등 여러 의미로 쓰이는데, B의 “생겼겠군”은 화자가 직접 확인하지 않은 사실을 미루어 짐작하는 표현으로 전형적인 추측이다. 다른 예들은 의지(E, F, H), 가능성·능력(A), 완곡한 단정이나 확인 요구(D, I, J), 의문 제기(C) 등에 해당한다. G는 예언적 단정에 가깝다.

### ANSWER
B"
534,Syntax,Agreement,3,I,E,"A는 반문 형태의 추측으로 G·I와 묶이고, B·C·H·J는 의지, D·F는 희망(‑면 좋겠다)이다. E는 '‑을 수 있겠는지'로 능력·가능성 확인을 묻는 용법이어서 같은 용법의 다른 선지가 없다.

### ANSWER
E"
535,Syntax,Embedded Clauses,3,D,D,"D는 ""학생회장은 학생들 앞에서 선서했다""로, '학생들 앞에서'는 절이 아닌 부사어(체언+조사) 구성이라 안긴절이 없는 홑문장입니다. 나머지는 관형절(A, E, J), 부사절(B), 인용절(C), 명사절(F, G), 서술절(H, I)을 안고 있습니다.

### ANSWER
D"
536,Syntax,Agreement,2,E,E,"""스트레스가 그렇게 많으니 힘들겠네.""는 상대의 상태를 근거로 미루어 짐작하는 표현이므로 '-겠'의 추측 용법에 정확히 해당한다. 반면 A·C는 완곡한 요청/질문, B·F·H는 의지, D는 완곡한 단정, G는 추측, J는 완곡 표현이다.

### ANSWER
E"
4,Semantics,Rhetorical Expressions,3,F,G,"시장 이슈에만 의존해 분석 없이 무작정 투자하는 현상을 가리키는 관용적 표현은 '묻지마 거래'이다. 다른 선택지들은 관용적으로 정착된 표현이 아니거나 문맥에 어울리지 않는다. 따라서 가장 적절한 말은 '묻지마 거래'이다.

### ANSWER
G"
5,Semantics,Rhetorical Expressions,3,G,H,"의인법이 핵심으로, '고단함이 내려앉은', '어둠의 틈새', '가로등이 위태로이 길을 인도한다'처럼 무생물·무정물에 인간의 감정과 행동을 부여하고 있다. 이는 독자의 정서적 공감을 유도하는 장치이다. 심리적 안정, 사회 비판, 감각 단순화 등은 지문의 효과와 어긋난다.

### ANSWER
H"
6,Syntax,Argument Structure & Valency,3,A,A,"시달리다는 '무엇에 시달리다'처럼 부사어를 반드시 요구하는 서술어여서 '뱃멀미에'는 생략하면 문장이 불완전해지는 필수적 부사어입니다. 반면 접때, 하나하나, 일조일석에, 불철주야, 대내외적으로, 무단으로, 불하일장에 등은 단순 수식(수의적) 부사어이고, '유명하다'나 '있다'의 부사어도 문장 성립에 필수적이라 보기 어렵습니다.

### ANSWER
A"
7,Pragmatics,Discourse Principles,3,C,C,"상대가 준비한 간식을 두고 ""편의점 차렸니?""라고 말한 것은 사실이 아님을 알면서도 과장·비꼬는 표현을 써서 놀라움이나 핀잔 같은 태도를 드러낸 경우입니다. 즉 질의 격률(진실성)을 의도적으로 위반한 사례입니다. 다른 예들은 관련성·양의 격률과 관련되거나 사실 진술입니다.

### ANSWER
C"
8,Syntax,Embedded Clauses,2,I,I,"""옛이야기를 해주시던""은 뒤의 체언 '할머니'를 수식하는 관형사형 어미 '-던'이 쓰인 절이므로 관형절이다. A·D·J는 명사절, B·C·G는 서술절을 안은 문장이다.

### ANSWER
I"
9,Syntax,Embedded Clauses,2,B,B,"""보리쌀을 섞은""이 뒤의 명사 '밥'을 수식하는 관형절로 안겨 있습니다. A·C·G·I는 서술절, D·F·H·J는 명사절, E는 부사절에 해당합니다.

### ANSWER
B"
10,Syntax,Embedded Clauses,2,D,D,"""밤이 새도록""은 주어(밤이)와 서술어(새도록)를 갖춘 절이 뒤의 서술어 '응시했다'를 수식하는 부사절로 안겨 있다. 나머지는 서술절(A, J), 명사절(B, C, E, I), 관형절(F, G, H)에 해당한다.

### ANSWER
D"
11,Syntax,Embedded Clauses,2,F,F,"관형절은 명사를 수식하는 안긴문장인데, F의 '딸꾹질하던'이 '빈민'을 수식하는 관형절입니다. D는 부사절(없이), A·C·E·G·I는 명사절, B·H·J는 서술절입니다.

### ANSWER
F"
537,Syntax,Embedded Clauses,3,C,C,"C는 ""엄마는 제주도에서 생각에 잠기곤 한다""로, 부사어와 서술어만 있는 홑문장이며 절이 안겨 있지 않습니다. 반면 A·F·H는 명사절, B·G는 관형절, D·J는 인용절, E는 부사절, I는 서술절(""필력이 매우 좋다"")을 안은 문장입니다.

### ANSWER
C"
538,Syntax,Embedded Clauses,3,J,J,"'-려고 하다'는 본용언+보조용언 구성으로 하나의 서술어를 이루므로 절을 안은 구조가 아닙니다. 나머지는 명사절(A, G), 서술절(B, H), 부사절(C), 관형절(D, E, I), 인용절(F)을 안고 있습니다.

### ANSWER
J"
539,Syntax,Embedded Clauses,2,E,E,"E는 ""흑사병이 완치될 수 없음""이라는 명사절이 목적어로 안겨 있는 문장이다. 나머지는 모두 홑문장(주어+서술어 하나)이다.

### ANSWER
E"
540,Syntax,Embedded Clauses,2,E,E,"""아주버니는 사람 보는 안목이 대단하시다""에는 관형절 '사람 (을) 보는'이 안겨 있고, '안목이 대단하시다'라는 서술절도 포함되어 있어 안은 문장에 해당합니다. G는 대등하게 이어진 문장이며, 나머지는 모두 홑문장입니다.

### ANSWER
E"
358,Syntax,Argument Structure & Valency,3,G,G,"알아차리다는 '누가 무엇을 알아차리다' 구조로 주어와 목적어만 필수적으로 요구하는 두 자리 서술어이다. A, B, C, D, F는 주어만 필요한 한 자리 서술어이고, E, H, I, J는 주어·목적어에 부사어(~로, ~에게, ~에)까지 요구하는 세 자리 서술어이다.

### ANSWER
G"
359,Syntax,Argument Structure & Valency,3,J,J,"2자리 서술어는 주어와 목적어(또는 필수 부사어) 하나만 요구합니다. D·E는 '누구에게/무엇에'까지 필요한 세 자리, A('~을 ~로 감싸다')와 F('~을 ~게 대하다')도 필수 부사어가 있어 세 자리입니다. B·C·G·I·H는 주어만으로 문장이 성립하는 한 자리 서술어입니다('얼굴이 달라졌다'). '가꾸다'는 주어와 목적어를 반드시 요구하는 두 자리 서술어입니다.

### ANSWER
J"
360,Semantics,Conjunctions,1,F,F,"두 번째 문장은 첫 문장의 예시나 구체화가 아니라 결과이므로 인과 접속어가 적절하다. 따라서 ""가령""(예시)이 들어갈 수 있다는 설명은 적절하지 않다.

### ANSWER
F"
361,Syntax,Agreement,3,C,F,"<보기>의 절은 안긴문장의 주어 역할을 하므로 뒤에 오는 서술 구성과 자연스럽게 이어져야 합니다. F의 '정보를 재촉했다'는 '재촉하다'가 사람이나 행위(제출, 답변 등)를 목적어로 취하는 동사여서 '정보'와는 호응하지 않습니다. 나머지는 '의도를 간파하다', '해명을 납득하다', '~하는 것을 보다/듣다' 등 자연스러운 결합입니다.

### ANSWER
F"
187,Phonetics/Phonology,Phonological Alternation,3,I,I,"<보기>의 '닻→[닫]'은 음절 끝 자음이 파열음 ㄷ으로 바뀌는 음절의 끝소리 규칙(평파열음화)이다. 대부분의 단어는 종성 ㅊ, ㅍ, ㅋ, ㅅ 등이 대표음으로 바뀌는 현상을 보인다. 그러나 '밖에'는 모음으로 시작하는 조사가 이어져 [바께]처럼 연음되므로 끝소리 규칙이 적용되지 않는다.

### ANSWER
I"
188,Pragmatics,Implicature,2,D,D,"D는 ""경기도 늘 보러 간다""며 농구를 좋아한다는 강한 긍정 표현이다. 나머지는 모두 간접적 혹은 직접적 거절·부정(배부름, 처음 만남, 다른 일 생각남, 됐어요 등)에 해당한다.

### ANSWER
D"
189,Syntax,Argument Structure & Valency,3,B,G,"평정하다는 '누가 무엇을 평정하다'처럼 주어와 목적어를 반드시 요구하는 두 자리 서술어로 고정됩니다. 반면 우물거리다·더듬거리다는 자동/타동 양용, 상속하다는 '~에게서'가 더해져 세 자리로 확대되고, 반발하다·목매다·넘나들다·스미다·재다·건립하다는 문맥에 따라 필수 성분 수가 달라질 수 있습니다.

### ANSWER
G"
190,Syntax,Argument Structure & Valency,1,F,F,"주어 '나'가 직접 '살다'라는 행위를 수행하는 능동·주동 표현이 F입니다. A의 '떨렸다', H의 '잊혔다'는 피동, B·I의 '-아지다'는 상태 변화, 나머지는 자동사로 주어가 의지적으로 행위를 하는 것이 아닙니다.

### ANSWER
F"
541,Syntax,Embedded Clauses,1,E,E,"인용절(""그 배우는 뭔가 어설프다고"")을 포함한 E가 다른 문장을 안고 있는 안은 문장이다. D는 대등·종속적으로 이어진 문장이고, 나머지는 홑문장이다.

### ANSWER
E"
542,Syntax,Embedded Clauses,2,C,C,"""관희는 인상이 좋다""처럼 주어(관희는)에 대해 ""인상이 좋다""가 서술어 역할을 하는 구조는 서술절을 안은 문장입니다. 다른 선택지들은 부사(어)만 포함된 홑문장이며 절을 포함하지 않습니다.

### ANSWER
C"
543,Syntax,Embedded Clauses,2,D,D,"""팥빙수가 이가 시리게 차갑다""에서 '이가 시리게'는 주어와 서술어를 갖춘 절이 부사어 역할을 하는 부사절입니다. 따라서 이 문장은 부사절을 안은 문장(안은 문장)에 해당합니다. 다른 선택지들은 대체로 홑문장이거나 절을 안고 있지 않습니다.

### ANSWER
D"
544,Syntax,Argument Structure & Valency,2,C,C,"""아니다""는 목적어를 취하지 않고 보어를 취하는 서술어이므로, C의 '비수기까진'은 목적어가 아니라 보어에 해당한다. 나머지 예문들은 모두 타동사(듣다, 발라주다, 제공하다, 삐죽이다, 사수하다, 보다, 신고하다, 지참하다, 세탁하다)의 대상이 되는 목적어이다.

### ANSWER
C"
12,Syntax,Embedded Clauses,1,F,F,"‘아까 녹여둔’은 뒤의 체언 ‘밥’을 수식하는 관형절로, 안긴문장이 관형어 기능을 합니다. 나머지는 명사절(주어·목적어), 부사절, 서술절 등입니다.

### ANSWER
F"
13,Syntax,Embedded Clauses,2,J,J,"""도망치다시피""는 부사형 어미 '-다시피'가 결합해 뒤의 서술어 '뛰어나갔다'를 수식하는 부사절입니다. 다른 문장들은 명사절(A, D, F, H), 서술절(B, E), 관형절(C, G, I)을 안고 있습니다.

### ANSWER
J"
14,Pragmatics,Discourse Principles,2,H,H,"관련성 격률을 어긴 듯한 ""오늘 야근 확정이야""라는 대답은 실제로는 ""일이 거의 다 끝났겠다""는 갑의 추측을 부정·반박하는 함축을 전달한다. 즉 을은 의도적으로 관련성 위반을 통해 반박의 의미를 나타낸 것이다.

### ANSWER
H"
15,Pragmatics,Discourse Principles,1,H,H,"무릎이 쑤신다는 답은 날씨를 묻는 질문에 표면상 전혀 관련 없는 발화로, 관련성의 격률을 의도적으로 위반하여 간접적으로 뜻을 전달하는 대표적 사례이다. 다른 선택지들은 양(정보량)이나 태도의 격률 위반이거나, 관용 표현으로 관련된 답을 하고 있다.

### ANSWER
H"
545,Syntax,Agreement,2,F,F,"‘짐작(추측)’을 나타내는 평서문이어야 하는데, A·C·D·G는 의지, E·H는 의문, I는 계획을 나타냅니다. F는 ‘-을 것이다’로 주사위의 상태를 추측하는 평서문으로 조건에 가장 잘 맞습니다.

### ANSWER
F"
546,Syntax,Argument Structure & Valency,2,H,H,"""너만 오면""에서 '너만'은 자동사 '오다'의 주체, 즉 주어이다. 나머지는 모두 타동사의 목적어(발목을 삐끗하다, 말을 번역하다, 빨랫비누를 가져오다 등)로 기능한다.

### ANSWER
H"
547,Syntax,Agreement,1,E,E,"1인칭 주어와 함께 쓰여 화자의 의지·계획을 드러내는 '-겠-'이 필요하다. 다른 선택지들은 모두 추측(짐작)의 의미이며, E만 '나'가 앞으로 하겠다는 의도를 표현한다.

### ANSWER
E"
548,Syntax,Argument Structure & Valency,2,G,G,"""있다""는 목적어를 취하지 않는 형용사(존재사)로, G의 '사람도'는 보조사 '도'가 붙은 주어입니다. 나머지는 모두 서술어의 대상이 되는 목적어(조사 생략 또는 보조사 결합 포함)입니다.

### ANSWER
G"
362,Syntax,Argument Structure & Valency,3,F,C,"밀봉되다는 피동 서술어로 '무엇이 무엇으로 밀봉되다'처럼 주어와 도구를 나타내는 필수 부사어를 요구해 두 자리 서술어입니다. B, D, E, J는 주어·목적어·필수 부사어를 요구하는 세 자리 서술어이고, A, F, G, H, I는 주어만 요구하는 한 자리 서술어입니다(장소 표현은 수의적 부사어).

### ANSWER
C"
363,Syntax,Agreement,2,A,D,"""장모님이 원장이 ~"" 뒤에 오는 서술 구조를 따져 보면, D는 ""좋아한다는 것을 좋아하셨다""처럼 동일 서술어가 중복되어 의미상·호응상 어색하다. 나머지는 인용절이나 명사절이 상위 서술어와 자연스럽게 이어진다.

### ANSWER
D"
364,Syntax,Agreement,1,G,G,"""~것은""으로 시작하는 주어절은 뒤에 ""~때문이었다/~덕분이었다/~아니었다/~서였다"" 같은 이유 서술이나 지시적 호응이 와야 자연스럽다. G의 ""인형이 자그마했던 것 같다""는 주어절과 서술부가 전혀 대응되지 않아 문장 성분 간 호응이 깨진다.

### ANSWER
G"
365,Syntax,Argument Structure & Valency,2,D,D,"입수하다는 '주어 + 목적어'를 요구하는 두 자리 서술어입니다. A·C·E·G는 주어·목적어·필수 부사어를 요구하는 세 자리 서술어이며, B·F·H·I·J는 주어만 요구하는 한 자리 서술어입니다.

### ANSWER
D"
549,Syntax,Argument Structure & Valency,2,H,H,"""습관은 참으로 무서운 거야""에서 '습관은'은 서술어 '무서운 것이다'의 주어이며, 다른 보기들은 모두 서술어의 대상이 되는 목적어(C의 '벽돌은'도 보조사가 붙은 목적어)입니다.

### ANSWER
H"
550,Syntax,Argument Structure & Valency,3,A,A,"""물꼬가 되었다""에서 '물꼬가'는 '되다' 앞에 오는 보어(補語)로, 주어는 '영미의 오 점 슛이'이다. 나머지 항목들의 꺽쇠 안 단어는 보조사가 붙거나 주격 조사가 생략된 주어들이다.

### ANSWER
A"
551,Syntax,Agreement,1,E,E,"의지를 나타내는 선어말어미 '-겠-'이 쓰인 예를 찾아야 한다. A·B는 추측, C·F·G·J는 추측, D·H·I는 가능성(능력)을 나타낸다. 반면 E는 화자가 아직 일어나지 않은 일(검거)을 반드시 이루겠다는 의지를 드러낸다.

### ANSWER
E"
552,Syntax,Argument Structure & Valency,1,E,E,"""오늘 수술 잘 마쳤니?""에서 '수술'은 '마치다'의 대상, 즉 목적격 조사가 생략된 목적어이다. 다른 선택지들은 모두 '이/가/은/는' 등의 주격 성분으로 서술어의 주체를 나타낸다.

### ANSWER
E"
366,Semantics,Inter-sentence Relations,1,F,F,"일찍 퇴근한 ""덕분에""는 긍정적 결과를 이끌어야 하므로, 좋아하는 방송을 놓쳤다는 부정적 결과는 맥락상 어울리지 않는다. 나머지는 모두 여유 시간 덕분에 얻은 이득이다.

### ANSWER
F"
367,Semantics,Inter-sentence Relations,1,E,E,"(라)가 커피 문화 확산이라는 도입 역할을 하고, (가) 대형 체인의 특징 뒤에 (마) 그에 따른 선호가 이어진다. 이어 (나) 동네 카페 소개, (다) 그 보완 설명, (바) 여유로운 손님들의 선택으로 마무리되는 흐름이 자연스럽다.

### ANSWER
E"
368,Syntax,Argument Structure & Valency,3,J,B,"단정하다는 여기서 '누가 무엇을 단정하다'로 주어와 목적어를 요구하는 두 자리 서술어로 쓰였습니다. A·F·H는 주어·목적어·부사어를 필요로 하는 세 자리 서술어이고, C·D·E·G·I·J는 주어만 요구하는 한 자리 서술어입니다.

### ANSWER
B"
369,Semantics,Inter-sentence Relations,3,C,I,"대부분의 짝은 '상위 개념 – 그에 해당하는 구체적 예'의 관계(안전사고→화재, 대비→덮개·청소 등)로 이루어져 있다. 그러나 '대비'와 '예방'은 구체적 사례 관계가 아니라 서로 비슷한 층위의 유의어 관계이다. 따라서 관계의 성격이 다른 것은 I이다.

### ANSWER
I"
16,Pragmatics,Discourse Principles,2,D,F,"F는 상대의 상황을 짐작해 화제를 돌리는 발화로, 명백히 거짓이거나 근거 없는 정보를 과장해서 제시하는 경우가 아니다. 나머지는 모두 반어(A), 과장(B, D, E, H, I, J), 근거 없는 일반화(C, G)로 질의 격률을 어기며 거짓·무근거 정보를 의도적으로 제공한다.

### ANSWER
F"
17,Pragmatics,Social Relationship Marking,2,G,G,"상담 주간에 부모님을 모시고 오라는 말은 학교에서 교사가 학생에게 하는 전형적인 발화이고, ""엄마 바쁜데요""라는 응답도 학생의 말투에 해당한다. 다른 선택지는 점원-손님, 친구 사이, 가족, 승객 관계 등이다.

### ANSWER
G"
