category,subcategory,level,answer,pred,response
Syntax,Argument Structure & Valency,1,B,E,"문제에서 꺽쇠 안의 서술어가 요구하는 자릿수가 한 자리인 것을 찾아야 한다. 서술어가 요구하는 자릿수는 그 서술어의 목적어 또는 보어가 되는 수치가 한 자리 수(1~9)인지 확인해야 한다.  

- **E 옵션**: ""코끼리의 몸무게는 최소 4톤에 **육박한다**."" 여기서 '육박한다'는 ' ~에 육박한다' 형태로 사용되며, 목적어는 ""4톤에""이다. '4'는 한 자리 수이다.  
- 다른 옵션들은 서술어의 목적어에 숫자가 명시되어 있지 않거나(예: B, C, D, F, H, I, J), 숫자가 나타나더라도 한 자리 수가 요구되지 않는다(예: G의 '한 번'은 빈도 수이지만 서술어 '대입해봐라'의 본질적 요구 사항이 아니다).  

따라서 '육박한다'가 요구하는 수치(4톤)의 자릿수가 한 자리인 것은 E 옵션뿐이다.  

### ANSWER
E"
Pragmatics,Implicature,1,A,A,"### 추론:  
문제는 갑의 제안에 을이 승낙한 예를 찾는 것이다. 각 선택지를 살펴보면, **A**에서 갑이 대회 팀 참여를 제안하고 을이 ""상금은 다 내 거다""라고 답한다. 이는 제안을 수용하면서 상금 배분 조건을 제시하는 것으로, **승낙**에 해당한다. 다른 선택지는 모두 거부나 고민 중인 반응이다.  

### ANSWER  
A"
Pragmatics,Implicature,1,A,A,"### 분석
갑은 자녀의 용돈을 올리지 않겠다고 선언하며 금전적 지원을 제한하는 태도를 보입니다. 을은 자녀가 현재 나이일 때 엄마가 하루에 3시간만 자며 공부했다는 사실을 언급하며, 자녀가 충분히 공부하지 않았다는 암시를 합니다. 이는 자녀의 성적이 기대에 미치지 못했다는 의견을 암시합니다. 다른 선택지는 상황과 일치하지 않습니다: B는 용돈 감소를 주장하지만 갑은 단지 인상만 거부한 것이고, G는 재정적 어려움을 언급하지만 문맥에서 직접적이지 않습니다. H는 의견이 상반되었다고 주장하지만 두 사람 모두 자녀의 성적에 불만을 가지고 있기 때문에 정확하지 않습니다.

### ANSWER
A"
Syntax,Agreement,1,E,E,"### 분석  
문제는 꺽쇠 안 동사에 '-겠'을 추가했을 때 의미가 다른 문장에서 달라지는 것을 찾는 것입니다. '-겠'은 추정·가정의 뜻을 나타내지만, 일부 문장에서는 의도 표현으로도 사용됩니다. 대다수 문장에서 '-겠' 추가는 명언→추정으로의 변화이지만, **E문**에서는 ""먹다""에 '-겠'을 붙이면 의도 표현(""꼭 먹겠다"")이 되어 추정이 아닌 결심의 뉘앙스로 변합니다. 다른 문장들은 모두 추정의 뉘앙스로 의미가 변하므로, E만이 다르게 변합니다.  

### ANSWER  
E"
Syntax,Agreement,1,A,A,"### Reasoning
The question asks to identify the sentence where **'-고 있'** expresses **""상태의 지속""** (continuation of a state), not an ongoing action. In Korean, **'-고 있다'** can indicate either:  
1. **동작의 지속** (ongoing action, e.g., ""강의하고 있다"" – lecturing right now), or  
2. **상태의 지속** (a sustained state, e.g., ""자고 있다"" – lying and remaining in that state).  

**상태의 지속** typically applies to verbs describing a **condition or stance maintained over time**, not temporary actions. Among the options:  
- **A: ""난 그게 거짓이라고 가정하고 있다.""** uses **""가정하고 있다""**, where **""가정하다""** (to assume) implies **maintaining an assumption as a continuing state** (e.g., ""I am assuming this to be false"" as an ongoing stance).  
- All other options (**B–J**) describe **active, temporary actions** (e.g., 강의하고 있다 = lecturing now; 걸어오고 있다 = walking now), which are **동작의 지속**.  

Thus, **A** is the only sentence where **'-고 있'** reflects **상태의 지속**.

### ANSWER
A"
Syntax,Agreement,1,F,F,"### 추론  
'-고 있'이 '상태의 지속'을 나타낼 때는 서술어가 **상태를 나타내는 형용사나 서술용어**일 때다. 예시로는 '걱정하고 있다', '조마조마하고 있다' 등이 있다. 문제에서 **조마조마하고 있다**(F)는 '불안한 상태가 지속되고 있음'을 의미하며, 다른 선택지는 모두 **동작의 지속**(예: 검토하다, 기록하다, 시청하다 등)를 나타낸다.  

### ANSWER  
F"
Syntax,Agreement,1,E,E,"문제에서 '-고 있'이 동작의 진행을 나타내는 경우를 찾아야 한다. '-고 있'은 현재 진행 중인 동작을 나타낸다.  
옵션을 분석하면, **E: 태풍이 도시를 강타하고 있다**에서 '강타하다'는 현재 진행 중인 물리적 동작(태풍이 도시를 강타 중임)을 나타내는 동사이며, '-고 있'이 정확히 동작의 진행을 표현한다. 다른 옵션들은 주로 상태(예: 동감, 낙담, 망각 등) 또는 부적절한 문맥을 가리킨다.

### ANSWER
E"
Syntax,Agreement,1,B,B,"### 추리:  
'-고 있'이 '동작의 진행'을 나타할 때는 현재 진행 중인 동작을 표현해야 합니다. 옵션 중 **B**(""햄스터가 내 발을 간지럽히고 있다"")는 햄스터가 현재 발을 간지럽히는 진행 중인 동작을 명확히 나타냅니다. 다른 옵션들은 주로 상태(예: 공경하고 있다, 동정하고 있다) 또는 결과적 상태(예: 구별되고 있다)를 나타내거나, '-고 있'이 진행 중 동작이 아닌 의미를 가집니다.  

### ANSWER  
B"
Syntax,Agreement,1,H,F,"### 생각 과정
문제는 ""-고 있""이 '동작의 진행' 의미로 쓰인 예를 찾는 것입니다. ""-고 있다""는 두 가지 주요 의미가 있습니다: **동작의 진행**(현재 진행 중인 동작)과 **결과 상태**(동작이 끝나서 유지되는 상태).  
- **A, B, C, D, E, J**는 주로 상태를 나타내는 동사(만족하다, 좌절하다, 대표하다, 금지하다, 극복하다, 담당하다)와 함께 사용되어 **결과 상태**를 의미합니다.  
- **G**는 ""지속되고 있다""에서 지속되다 자체가 상태 동사이므로 **결과 상태**입니다.  
- **I**는 ""감탄하고 있다""에서 감탄하다가 일시적인 감정이므로 **결과 상태** 가능성 높습니다.  
- **F**는 ""늦어지고 있다""에서 늦어지다가 **변화 과정**을 나타내는 동사이므로 **동작의 진행**을 명확히 표현합니다.  
- **H**는 ""종알거리고 있다""에서 알거리다가 반복 동작이지만, ""-고 있다""가 진행 중임을 강조하긴 하지만, **F**가 변화 과정을 더 명확히 나타냅니다.  

### 정답
F

### ANSWER
F"
Syntax,Argument Structure & Valency,1,F,H,"문제에서 요구하는 것은 꺽쇠 안의 서술어가 요구하는 자릿수가 한 자리인 경우를 찾는 것입니다. 각 옵션을 살펴보면, **H** 옵션에서 ""다섯 시간""이라는 한 자리 수(5)가 사용되어 있습니다. 이 수치는 서술어 ""짰다""와 직접적으로 연결된 시간 표현에서 한 자리 수로 요구됩니다. 다른 옵션들은 여러 개, 불확정적 수 또는 자릿수 한 자리 수를 명시적으로 포함하지 않습니다.

### ANSWER
H"
Syntax,Agreement,1,G,,[EMPTY_RESPONSE]
Syntax,Agreement,1,G,G,"### 생각 과정
문제는 '-고 있'이 동작이 진행 중임을 나타내는 문장을 찾는 것입니다. '-고 있'은 진행 중인 동작을 나타내므로 **동적 동사**에 사용됩니다. 정적 상태를 나타내는 동사(예: 동감하다, 망각하다, 능가하다 등)에서는 '-고 있'이 적절하지 않을 수 있습니다.  

- **G**: ""태풍이 도시를 강타하고 있다""는 **강타하다**가 진행 중인 물리적 동작(태풍이 현재 도시를 강타 중임)을 명확히 나타냅니다.  
- 다른 옵션들(A~F, H~J)은 주로 정적 상태 또는 지속적 정신적 상태를 나타내거나, '-고 있' 사용이 부적절할 수 있습니다. 예를 들어, **F**(""고심하고 있다"")도 진행 중인 정신적 활동이지만, 질문이 **명확한 동작의 진행**을 요구할 경우 **G**가 가장 대표적입니다.  

### ANSWER
G"
Semantics,Word Relationships,1,H,H,"지문의 ""적자""는 경제적 손실을 의미하며, ""뜨거움""과 ""차가움""은 상대적 반대 개념이다. ""적자""의 반대는 ""흑자""이며, 이는 뜨거움과 차가움의 반대 관계와 일치한다.  

### ANSWER
H"
Semantics,Word Relationships,1,A,A,"지문에서 ""심중""은 적 사령관의 내적 의도나 마음을 가리키며, 이는 그의 행동을 이끄는 의향과 유사하다. 다른 옵션 중 ""의향""(A)은 정확히 이러한 내적 의도나 결심을 의미한다.  

### ANSWER  
A"
Semantics,Word Relationships,1,H,H,"지문에서 ""누락해서""는 기재해야 할 항목을 보고서에 포함하지 못한 상태를 의미한다. ""빼먹어서""도 누락이나 소홀로 인해 생기는 상황을 나타내기 때문에 문맥적 의미가 가장 유사하다. 다른 선택지는 내용이나 의미가 다르다.

### ANSWER
H"
Semantics,Word Relationships,1,G,G,"지문에서 ""기리는""은 누군가의 희생을 기억하고 영예를 주는 의미로 사용된다. 이 문맥에서 가장 유사한 단어는 기념하는이기 때문에 정답은 G이다. 다른 선택지는 기리기와 의미가 다르다.

### ANSWER
G"
Syntax,Agreement,1,C,I,"### 분석
주어진 지문 ""김승지라는 분은 가감승제를 잘 하셨다""에서는 **하셨다**가 등장합니다. 이는 **시어체**의 예로, 주어가 존경받는 사람임을 나타내는 영어식 honorific 표현입니다. 문제는 이와 동일한 종류의 높임법을 사용한 문장을 찾는 것입니다.  

옵션들을 살펴보면:  
- **I**: ""누가 알아 드린답디까?"" 에서 **알아 드리다**는 **드리다**를 이용한 시어체로, 주어가 존경받는 사람에 대한 높임법을 사용합니다. 이는 **하셨다**와 동일한 구조(동사 + 시어체)입니다.  
- 다른 옵션들은 시어체가 아니거나(예: B, C, E, G, J), 겸손법(H), 또는 단순 경어(F, A, D)입니다.  

### ANSWER
I"
Syntax,Agreement,1,H,H,"### ANSWER
H

**Reasoning:** The original sentence uses **높임법** in both the noun (""작은어머님"" with **-님**) and the verb (""되셨다"" with **시-**). Option H mirrors this structure: ""버드나무님이셔"" includes the noun honorific **-님** (버드나무님) and the verb honorific **시-** (이셔). Other options either lack one component or use different honorific forms (e.g., humble or polite endings)."
Semantics,Word Relationships,1,A,A,"지문에서 ""감겼다""는 머리카락이 시계에 얽히거나 붙어서 움직이지 못하는 상황을 나타낸다. 이에 가장 유사한 단어는 ""옭혔다""로, '옭다'가 사물이 서로 얽히거나 붙어 있는 의미로 사용될 때 통용된다. 다른 선택지 중 ""막혔다""는 통로가 막이는 의미가 강하고, ""질렸다""는 접착력이 있는 의미가 더 강하므로 문맥에 부합하지 않는다.

### ANSWER
A"
Semantics,Word Relationships,1,B,A,"지문에서 ""승복하였다""는 사실을 인정하거나 받아들이는 의미로 사용되었다. 이 문맥에서 ""승복""은 내적적으로 사실을 납득하고 받아들이는 뉘앙스를 지닌다. 옵션 중에서 ""납득""(A)은 이러한 의미와 가장 유사하다. 다른 옵션들은 거부, 변명, 방어 등과 같은 반대 또는 다른 의미를 지닌다.

### ANSWER
A"
Syntax,Agreement,1,I,I,"### Reasoning
The original sentence ""초여름에 회장님께서 출산하셨다"" uses **subject honorifics (주체 높임법)**:  
- ""회장님께서"" employs the honorific particle **께서** for the subject.  
- ""하셨다"" uses the honorific verb form **하시다** (시어체), elevating the subject (회장님).  

We need a sentence that also uses **subject honorifics**, either via:  
1. Honorific particles (께서/께서), or  
2. 시어체 (e.g., -신, -소서 in adjectives/verbs).  

**Option I** (""창의력이 남다르신 청소년님이 여기 있다"") matches:  
- ""남다르**신**"" uses **시어체** (honorific adjective form) for the respected subject ""청소년님"".  
- ""청소년**님**"" includes the honorific suffix **-님**, and the structure elevates the subject, aligning with 주체 높임법 like the original.  

Other options use object honorifics (e.g., J’s ""찾아뵙다""), polite endings (B, D, F), or no honorifics (A, C, E, G, H).  

### ANSWER  
I"
Syntax,Agreement,1,A,,[EMPTY_RESPONSE]
Syntax,Agreement,1,E,,[EMPTY_RESPONSE]
Syntax,Agreement,1,J,J,"### 추론  
'-고 있'이 '상태의 지속'을 나타낼 때는 일시적인 행동이 아닌 지속적인 상태를 표현합니다. 대부분의 예시는 진행 중인 동작(예: 뒤따라오고 있다, 강의하고 있다 등)을 나타하지만, **J 옵션**의 ""가정하고 있다""는 정신적 상태(거짓이라고 가정하는 태도)를 지속적으로 유지하는 의미로 쓰입니다. 이는 상태의 지속을 강조하는 적절한 예시입니다.  

### ANSWER  
J"
Syntax,Agreement,1,G,G,"### 분석  
'-고 있'이 '상태의 지속'을 나타낼 때는 **상태동사**나 **정적 상태를 나타내는 동사**와 함께 사용된다. 예시로 ""자고 있다(잠을 자는 상태가 지속되고 있음)"", ""화가 나고 있다(화가 나 있는 상태)"" 등이 있다. 반면 ""구출하고 있다"", ""마시고 있다"" 등은 **동작의 지속**를 나타낸다.  

주어진 선택지 중 **G: 내 잘못이 걸릴까봐 조마조마하고 있다**에서 ""조마조마하다""는 **정적 상태**(불안한 감정의 지속)를 나타내는 형용사적 동사이다. 따라서 '-고 있'이 여기서 '상태의 지속' 의미로 쓰였다. 다른 선택지는 모두 **동작의 지속**를 나타낸다(예: 구출, 마시기, 시청 등).  

### ANSWER  
G"
Syntax,Agreement,1,E,E,"### 추리:  
'-고 있'이 '상태의 지속'을 나타낼 때는 주로 **상태를 나타내는 동사**에 사용된다. 여기서 **즐거워하다**는 감정 상태를 나타내는 동사로, '-고 있'이 상태의 지속을 강조한다(즐거워하고 있다 = 계속 기뻐하고 있는 상태). 다른 선택지는 모두 **동작의 지속**를 나타내는 동사로 사용되었다.  

### ANSWER  
E"
Syntax,Agreement,1,C,C,"### 추론
'-고 있'이 '동작의 진행' 의미로 쓰일 때는 **현재 진행 중인 동작**을 나타해야 합니다.  
- **C**: ""태풍이 도시를 강타하고 있다""는 태풍이 **현재 진행 중인 강타 동작**을 설명합니다 (동작의 진행).  
- 다른 선택지는 주로 **상태나 감정** (예: 동감, 고심, 낙담, 미어짐 등)을 나타내거나 지속적 상태를 설명합니다.

### ANSWER
C"
Syntax,Agreement,1,C,C,"### 추리:  
'-고 있'이 동작의 진행을 나타낼 때는 **현재 진행 중인 동작**을 표현해야 합니다. 옵션 중 **C**(""햄스터가 내 발을 간지럽히고 있다"")는 햄스터가 현재 발을 간지럽히는 **진행 중인 동작**을 명확히 나타냅니다. 다른 옵션들은 주로 **상태 또는 결과**를 나타내거나(예: B, D, H, I, J), 감정/인식 상태를 표현하거나(예: E, G), 부적절한 사용을 하므로(예: F) 적합하지 않습니다.  

### ANSWER  
C"
Syntax,Agreement,1,I,I,"문제에서 '-고 있'이 '동작의 진행' 의미로 쓰인 문장을 찾아야 한다. '동작의 진행'은 현재 진행 중인 동작(행동)을 나타낸다.  
- A, B, C, D, E, G은 상태(감정, 금지, 지속, 대표, 담당, 좌절 등)를 나타내는 정적 동사로, '-고 있'이 진행 중인 동작이 아닌 현재 상태를 표현한다.  
- F는 '늦어지다'가 변화 과정을 나타내지만, 주어가 '행사 일정'이므로 능동적 동작이 아닌 변화를 설명한다.  
- H는 '감탄하다'가 감정 상태를 나타내므로 진행 중인 동작이 아니다.  
- J는 '극복하다'가 노력 과정을 나타내지만, '-고 있'이 강조하는 즉시 진행 중인 동작보다는 지속적인 노력 상태에 가깝다.  
- I는 '종알거리다'가 명확히 현재 진행 중인 동작(종을 계속 놀리는 행동)이며, '-고 있'이 직접적인 동작의 진행을 표현한다.  

### ANSWER
I"
Syntax,Agreement,1,H,,[EMPTY_RESPONSE]
Semantics,Semantic Compatibility,1,H,H,"문제에서 가장 부적절한 선지를 찾아야 한다. 결심하다의 사용이 문제이다. 결심하다 는 ""결심하기"" 형태로 사용되어야 하며, 명단(명부)을 결심한다는 구조는 문법적으로 부적절하다. 다른 선지는 모두 적절한 문법과 표현을 사용하고 있다.

### ANSWER
H"
Semantics,Semantic Compatibility,1,G,H,"### 추론:  
문제에서 가장 어색한 문장은 의미가 전혀 맞지 않거나 문법이 잘못된 경우를 찾아야 합니다. 옵션 H(""공격이 거세다"")는 ""거세다""가 수컷 동물을 거세하는 행위를 나타내는 단어이므로 ""공격""에 사용하면 의미가 전혀 통하지 않아 매우 어색합니다. 다른 옵션들은 문법적 오류나 표현 불자연은 있지만 기본적인 의미는 통합니다.  

### ANSWER  
H"
Semantics,Semantic Compatibility,1,H,H,"지문 ""영감님이 엊그제를 씹었다""에서 '엊그제'(yesterday)는 시간 명사이지만 '씹다'는 먹을 수 있는 목적어를 요구하는 동사로, 의미적으로 부적합하다. 구조는 정상적이지만 의미 상 오류가 발생한다.  

### ANSWER  
H"
Semantics,Word Relationships,1,C,C,"지문의 “어렵지만”은 어려움과 대조적인 상황을 나타내며, ‘어려움’을 의미하는 단어가 필요합니다. “까다롭지만”(C)은 ‘어려움’을 강조하며 문맥적 유사성이 가장 높고, “곤란하지만”(D)은 상황의 어려움을 나타내지만 다소 넓은 의미입니다.  

### ANSWER  
C"
Semantics,Semantic Compatibility,1,G,G,"### 추론:  
문제에서 가장 어색한 문장은 논리적 오류나 사용법이 부적절한 경우를 찾아야 합니다. 옵션 G(""교사가 수도권을 출판했다"")는 ""수도권""(수도 지역)을 ""출판""(책이나 자료를 발행)하는 것이 불가능하므로 명확히 어색합니다. 다른 옵션들은 문법이나 의미상 문제 없이 사용 가능합니다.  

### ANSWER  
G"
Semantics,Semantic Compatibility,1,H,,[EMPTY_RESPONSE]
Semantics,Semantic Compatibility,1,E,E,"### 추론:  
문제에서 가장 어색한 문장은 **E: 민주가 명단을 결심했다.**입니다. ""결심하다""는 '결심을 하다'는 뜻으로, 일반적으로 동사나 행위를 보조하는 용법(예: ""결심했다 여행할 것이다"")에 사용됩니다. 하지만 여기서는 ""명단을""라는 명사에 직접 적용되어 문법적으로 부적절하고 의미가 불명확합니다. 다른 문장들은 모두 자연스러운 구조를 가집니다.  

### ANSWER  
E"
Phonetics/Phonology,Phonological Constraints,1,J,J,"### Reasoning  
The question asks for the option that is **not** an example of ""자음과 자음 사이의 배열 제약"" (consonant-consonant sequence restriction). This restriction applies when a morpheme ending in a consonant combines with a morpheme beginning in a consonant, creating a consonant-consonant cluster.  

- Options A–I all involve a morpheme ending in a consonant combining with another starting in a consonant (e.g., 낳(ㄴ)+다(ㄷ), 입(ㅂ)+학(ㅎ), etc.), fitting the C-C pattern.  
- Option **J** (크 + 어서 = 커서) involves a morpheme ending in a consonant (크 ends in ㄲ) combining with one starting in a **vowel** (어서 starts with ㅓ), which falls under the ""자음과 모음 사이의 배열 제약"" (C-V restriction), **not** C-C.  

Thus, **J** is the only option **not** an example of consonant-consonant sequence restriction.  

### ANSWER  
J"
Pragmatics,Speech Acts,1,A,A,"### 추론  
문제는 화자가 미리 행동을 정하는 발화의 예를 찾는 것이며, 예시 ""저녁에는 정말로 공부할게요""는 **자신의 의도를 확정적으로 표현하는 '-ㄹ게요' 구조**를 사용한다. 정답은 동일한 구조(예: '-ㄹ게요', '-겠다' 등)를 사용하며 미리 행동을 약속하는 문장이어야 한다.  

옵션 A(""다음달 안으로 알려 드릴게요"")는 **자신이 미래에 할 일을 확정적으로 약속하는 '-ㄹ게요' 구조**를 사용하며, 예시와 동일한 기능이다. 다른 옵션들은 예측(B, E), 요청(I, F), 후회(D, H, G), 희망(J) 등으로 의도 표현 방식이 다르다.  

### ANSWER  
A"
Pragmatics,Speech Acts,1,D,D,"### 분석  
문제에서 주어진 예 ""제출해야 하는 서류의 종류에는 무엇이 있습니까?""는 **질문**의 유형에 속합니다. 이는 정보 요구를 목적으로 하는 직접적 질문으로, '무엇'이라는 의문사로 특정 내용을 묻고 있습니다. 옵션 중에서도 정보 요구를 목적으로 하는 질문 유형을 찾아야 합니다.  

- **D: 다름이 아니라 기한이 언제까지인지 궁금합니다.**  
이 문장은 ""기한이 언제까지인지""라는 의문사로 기한을 묻는 간접적 질문입니다. 내용상 **정보 요구**를 목적으로 하며, 문제의 예와 유사한 질문 유형에 해당합니다. 다른 옵션은 감정 표현(А, В, І), 제안(Е, І), 약속(Ｆ), 진술(С, Н), 명령(А), 또는 확인 요청(Ｇ, Ј) 등 다른 유형입니다.  

### ANSWER  
D"
Syntax,Argument Structure & Valency,1,F,F,"### 분석:  
문제는 **능동문**에서 **주어가 행위를 직접 수행**하는 동사가 포함된 문장을 찾는 것입니다. 능동문은 주체가 직접 동작을 행하는 구조입니다.  

- **A, B, D, G, I**: 주어(손발, 숨, 본심, 음성, 수심)가 상태 변화나 수동적 반응을 겪는 것으로, 행위를 직접 하지 않습니다.  
- **C, E, H, J**: ‘들날렸다’, ‘동났다’, ‘잊혔다’, ‘밑돈다’ 등은 **수동 구조** 또는 상태를 기술하며, 주어가 직접 행위를 하지 않습니다.  
- **F**: “나는 헛살았다”에서 **‘살다’**는 **주어(나)가 직접 생활하는 행위**를 표현합니다. ‘헛살았다’는 “헛된 생활을 했다”는 의미로, 주체가 직접 행위를 수행하는 **능동문**입니다.  

### ANSWER  
F"
Semantics,Conjunctions,1,B,B,"문장은 ""어제부로 바쁜 일을 모두 마무리하고 푹 쉬고 있었다.""로 마무리된 상황에서 휴식 중임을 강조합니다. 다음 문장이 **""끝낸 일에 문제가 생겨서 수습하느라 다시 바빠지고 말았다.""**와 같은 예상치 못한 반전(문제 발생)을 나타낼 때, **""그런데""**는 이러한 갑작스러운 상황을 자연스럽게 연결하는 연결사로 적합합니다. 다른 옵션들은 맥락과 연결사의 사용이 일치하지 않거나 부적절합니다. 예를 들어, B 옵션은 반전 상황에 ""그런데""를 제안하며 정확히 문장의 흐름을 이어줍니다.

### ANSWER
B"
Syntax,Embedded Clauses,1,H,H,"### 분석  
문제는 안긴 문장 내에서 꺽쇠 안의 용어가 **목적어가 아닌** 경우를 찾는 것입니다. 각 선택지에서 꺽쇠 안의 용어가 안긴 문장에서 목적어인지 주체인지 확인해야 합니다.  

- **H 선택지**: ""고단한 삶에 고뇌하는 <고라니 주인>""에서 안긴 문장은 ""(고단한 삶에 고뇌하는)""입니다. 여기서 ""고라니 주인""은 **고뇌하는**의 **주체**로, 목적어가 아닙니다. 다른 선택지에서는 꺽쇠 안의 용어가 모두 해당 동사의 목적어입니다.  

### ANSWER  
H"
Morphology,Word Formation,1,J,A,"문제는 파생어 중 원형을 명확히 드러내지 않는 것을 찾는 문제이다. 각 옵션을 분석하면, 대부분의 단어는 원형 동사나 명사에서 파생된 형태로 원형이 명확히 보인다. 예를 들어, 죽음(죽다), 얼음(얼다), 익히(익다) 등에서 원형이 직접적으로 드러난다. 그러나 **앎**은 알다에서 파생된 명사이지만, 알라는 원형이 단어 안에 직접적으로 나타나지 않으며 불규칙한 형태로 변화한다(알다 → 앎). 따라서 원형을 밝히어 적지 않은 파생어는 앎이다.

### ANSWER
A"
Semantics,Numeral Classifiers,1,J,E,"지문에서 ""환수한 유물""이라는 일반적인 물건을 세 개 회수했다는 문맥에서, 가장 일반적이고 적절한 개수 표현은 ""세 개""입니다. 다른 옵션들은 특정 물건(책, 그림 등)에 사용되는 특수 카운터이므로 부적합합니다.

### ANSWER
E"
