license_name,subject,answer,pred,response
한약사,한약학 응용,D,D,D
한약사,한약학 응용,C,C,C
감정평가사,민법,D,D,D
감정평가사,민법,D,D,D
감정평가사,민법,E,E,E
감정평가사,민법,A,B,B
감정평가사,민법,C,A,A
감정평가사,민법,C,C,C
감정평가사,민법,B,B,B
감정평가사,민법,B,C,C
약사,임상실무약학,D,D,D
약사,임상실무약학,A,A,A
약사,임상실무약학,A,A,A
약사,임상실무약학,E,E,E
약사,임상실무약학,D,D,D
약사,임상실무약학,C,C,C
약사,임상실무약학,C,C,C
약사,임상실무약학,E,E,E
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,D,D,D
공인노무사,경영학개론,D,D,D
공인노무사,경영학개론,E,E,E
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,B,B,B
공인노무사,경영학개론,C,C,C
공인노무사,경영학개론,D,D,D
한약사,한약학 응용,E,E,E
한약사,한약학 응용,C,C,C
한약사,한약학 응용,B,B,B
한약사,한약학 응용,B,B,B
한약사,한약학 응용,D,D,D
한약사,한약학 응용,E,E,E
한약사,한약학 응용,A,A,A
한약사,한약학 응용,C,C,C
의사,보건의약관계법규,E,B,B
의사,보건의약관계법규,C,C,C
의사,보건의약관계법규,C,C,C
의사,보건의약관계법규,D,D,D
의사,보건의약관계법규,B,A,A
의사,보건의약관계법규,A,A,A
의사,보건의약관계법규,D,D,D
의사,의학총론,A,A,A
약사,임상실무약학,B,B,B
약사,임상실무약학,A,A,A
약사,임상실무약학,E,E,E
약사,임상실무약학,E,E,E
약사,임상실무약학,C,C,C
약사,임상실무약학,A,A,A
약사,임상실무약학,E,E,E
약사,임상실무약학,A,A,A
한의사,내과학2,D,D,D
한의사,침구학,B,B,B
한의사,침구학,D,D,D
한의사,침구학,C,C,C
한의사,침구학,D,D,D
한의사,침구학,C,C,C
한의사,침구학,E,A,A
한의사,침구학,D,B,B
공인노무사,경영학개론,E,E,E
공인노무사,경영학개론,D,D,D
공인노무사,경영학개론,B,B,B
공인노무사,경영학개론,A,A,A
공인노무사,경영학개론,B,B,B
공인노무사,경영학개론,D,D,D
공인노무사,경영학개론,B,B,B
공인노무사,경영학개론,B,B,B
한약사,한약학 응용,D,D,D
한약사,한약학 응용,E,E,E
한약사,한약학 응용,B,B,B
한약사,한약학 응용,C,C,C
한약사,한약학 응용,B,B,B
한약사,한약학 응용,B,B,B
한약사,한약학 응용,C,C,C
한약사,한약학 응용,C,C,C
의사,의학총론,C,C,C
의사,의학총론,A,A,A
의사,의학총론,B,B,B
의사,의학총론,A,A,A
의사,의학총론,A,A,A
의사,의학총론,C,C,C
의사,의학총론,E,E,E
의사,의학총론,A,A,A
약사,임상실무약학,A,A,A
약사,임상실무약학,E,E,E
약사,임상실무약학,C,C,C
약사,임상실무약학,A,A,A
약사,임상실무약학,B,B,B
약사,임상실무약학,D,D,D
약사,임상실무약학,A,A,A
약사,임상실무약학,E,E,E
공인노무사,경영학개론,A,A,A
공인노무사,경영학개론,E,E,E
공인노무사,경영학개론,A,A,A
공인노무사,경영학개론,D,D,D
공인노무사,경영학개론,B,B,B
공인노무사,경영학개론,D,D,D
공인노무사,경영학개론,D,D,D
공인노무사,경영학개론,D,D,D
한약사,한약학 응용,E,E,E
한약사,한약학 응용,E,E,E
한약사,한약학 응용,A,A,A
한약사,한약학 응용,C,C,C
한약사,한약학 응용,D,D,D
한약사,한약학 응용,E,E,E
한약사,한약학 응용,E,E,E
한약사,한약학 응용,C,C,C
한의사,침구학,C,C,C
한의사,침구학,C,C,C
한의사,침구학,D,D,D
한의사,침구학,E,E,E
한의사,침구학,A,A,A
한의사,침구학,B,B,B
한의사,침구학,E,D,D
한의사,침구학,D,D,D
의사,의학총론,C,C,C
의사,의학총론,D,D,D
의사,의학총론,C,C,C
의사,의학총론,D,D,D
의사,의학총론,E,E,E
의사,의학총론,D,D,D
의사,의학총론,A,A,A
의사,의학총론,D,D,D
변호사,민사법,D,B,B
변호사,민사법,C,C,C
변호사,민사법,E,E,E
변호사,민사법,E,E,E
변호사,민사법,C,C,C
변호사,민사법,E,E,E
변호사,민사법,D,D,D
변호사,민사법,A,B,B
감정평가사,민법,D,D,D
감정평가사,민법,E,E,E
감정평가사,민법,E,E,E
감정평가사,민법,D,D,D
감정평가사,민법,D,D,D
감정평가사,민법,E,E,E
감정평가사,민법,B,D,D
감정평가사,민법,A,A,A
한약사,한약학 응용,E,E,E
한약사,한약학 응용,C,C,C
한약사,한약학 응용,D,D,D
한약사,한약학 응용,B,B,B
한약사,한약학 응용,D,D,D
한약사,한약학 응용,A,A,A
한약사,한약학 응용,A,A,A
한약사,한약학 응용,D,D,D
한의사,침구학,B,B,B
한의사,침구학,B,B,B
한의사,침구학,B,C,C
한의사,침구학,A,A,A
한의사,침구학,C,C,C
한의사,침구학,D,D,D
한의사,침구학,A,A,A
한의사,침구학,A,A,A
의사,의학총론,B,B,B
의사,의학총론,C,C,C
의사,의학총론,E,E,E
의사,의학총론,B,B,B
의사,의학총론,A,A,A
의사,의학총론,E,E,E
의사,의학총론,C,C,C
의사,의학총론,E,E,E
약사,임상실무약학,A,A,A
약사,임상실무약학,B,B,B
약사,임상실무약학,D,D,D
약사,임상실무약학,B,B,B
약사,임상실무약학,B,B,B
약사,임상실무약학,D,D,D
약사,임상실무약학,A,A,A
약사,임상실무약학,E,E,E
한약사,한약학 응용,C,C,C
한약사,한약학 응용,A,A,A
한약사,한약학 응용,D,D,D
한약사,한약학 응용,C,C,C
한약사,한약학 응용,E,E,E
한약사,한약학 응용,E,E,E
한약사,한약학 응용,B,B,B
한약사,한약학 응용,A,D,D
의사,의학총론,D,D,D
의사,의학총론,B,B,B
의사,의학총론,E,E,E
의사,의학총론,C,C,C
의사,의학총론,A,D,D
의사,의학총론,E,E,E
의사,의학총론,A,A,A
의사,의학총론,B,B,B
약사,임상실무약학,B,B,B
약사,임상실무약학,D,D,D
약사,임상실무약학,B,B,B
약사,임상실무약학,E,E,E
약사,임상실무약학,C,C,C
약사,임상실무약학,B,B,B
약사,임상실무약학,E,E,E
약사,임상실무약학,A,A,A
한의사,침구학,D,D,D
한의사,침구학,B,B,B
한의사,침구학,E,E,E
한의사,침구학,A,A,A
한의사,침구학,E,E,E
한의사,침구학,A,B,B
한의사,침구학,C,C,C
한의사,침구학,B,B,B
한약사,한약학 응용,A,A,A
한약사,한약학 응용,D,D,D
한약사,한약학 응용,D,D,D
한약사,한약학 응용,A,A,A
한약사,한약학 응용,C,C,C
한약사,한약학 응용,A,A,A
한약사,한약학 응용,B,B,B
한약사,한약학 응용,B,B,B
의사,의학총론,D,D,D
의사,의학총론,A,A,A
의사,의학총론,D,D,D
의사,의학각론,D,D,D
의사,의학각론,A,A,A
의사,의학각론,B,B,B
의사,의학각론,E,E,E
의사,의학각론,D,D,D
감정평가사,민법,C,C,C
감정평가사,민법,B,B,B
감정평가사,민법,A,A,A
감정평가사,민법,A,C,C
감정평가사,민법,D,B,B
감정평가사,민법,D,D,D
감정평가사,민법,E,E,E
감정평가사,민법,C,C,C
약사,임상실무약학,E,E,E
약사,임상실무약학,C,C,C
약사,임상실무약학,C,C,C
약사,임상실무약학,E,E,E
약사,임상실무약학,E,E,E
약사,임상실무약학,C,C,C
약사,임상실무약학,A,A,A
약사,임상실무약학,D,D,D
한의사,침구학,D,D,D
한의사,침구학,C,C,C
한의사,침구학,A,A,A
한의사,침구학,E,C,C
한의사,침구학,C,C,C
한의사,침구학,B,A,A
한의사,침구학,A,A,A
한의사,침구학,C,C,C
의사,의학각론,C,C,C
의사,의학각론,A,A,A
의사,의학각론,D,D,D
의사,의학각론,C,C,C
의사,의학각론,D,D,D
의사,의학각론,E,E,E
의사,의학각론,E,E,E
의사,의학각론,C,C,C
한약사,한약학 응용,B,B,B
한약사,한약학 응용,C,C,C
한약사,한약학 응용,C,C,C
한약사,한약학 응용,D,D,D
한약사,한약학 응용,A,A,A
한약사,한약학 응용,E,E,E
한약사,한약학 응용,C,C,C
한약사,한약학 응용,C,C,C
약사,임상실무약학,E,E,E
약사,임상실무약학,A,A,A
약사,임상실무약학,A,A,A
약사,임상실무약학,B,B,B
약사,임상실무약학,D,D,D
약사,임상실무약학,B,B,B
약사,임상실무약학,C,C,C
약사,임상실무약학,D,D,D
공인노무사,경영학개론,A,A,A
공인노무사,경영학개론,C,C,C
공인노무사,경제학원론,A,A,A
공인노무사,경제학원론,D,C,C
공인노무사,경제학원론,B,B,B
공인노무사,경제학원론,D,D,D
공인노무사,경제학원론,C,C,C
공인노무사,경제학원론,B,B,B
한의사,침구학,B,B,B
한의사,보건의약관계법규,A,A,A
한의사,보건의약관계법규,A,A,A
한의사,보건의약관계법규,C,C,C
한의사,보건의약관계법규,B,B,B
한의사,보건의약관계법규,C,C,C
한의사,보건의약관계법규,A,A,A
한의사,보건의약관계법규,C,C,C
의사,의학각론,B,B,B
의사,의학각론,A,A,A
의사,의학각론,E,E,E
의사,의학각론,A,A,A
의사,의학각론,D,D,D
의사,의학각론,A,A,A
의사,의학각론,A,A,A
의사,의학각론,E,E,E
한약사,한약학 응용,E,E,E
한약사,한약학 응용,D,D,D
한약사,한약학 응용,C,C,C
한약사,한약학 응용,C,C,C
한약사,한약학 응용,B,B,B
한약사,한약학 응용,E,E,E
한약사,한약학 응용,B,B,B
한약사,한약학 응용,E,E,E
약사,임상실무약학,A,A,A
약사,임상실무약학,D,D,D
약사,임상실무약학,D,D,D
약사,임상실무약학,A,A,A
약사,임상실무약학,B,B,B
약사,임상실무약학,B,B,B
약사,임상실무약학,C,C,C
약사,임상실무약학,E,E,E
공인노무사,경제학원론,C,C,C
공인노무사,경제학원론,C,C,C
공인노무사,경제학원론,B,B,B
공인노무사,경제학원론,C,C,C
공인노무사,경제학원론,A,A,A
공인노무사,경제학원론,A,A,A
공인노무사,경제학원론,A,A,A
공인노무사,경제학원론,C,C,C
의사,의학각론,B,B,B
의사,의학각론,B,B,B
의사,의학각론,A,A,A
의사,의학각론,B,B,B
의사,의학각론,A,A,A
의사,의학각론,A,A,A
의사,의학각론,C,C,C
의사,의학각론,B,A,A
약사,임상실무약학,E,E,E
약사,임상실무약학,D,D,D
약사,임상실무약학,C,C,C
약사,임상실무약학,D,D,D
약사,임상실무약학,C,C,C
약사,임상실무약학,A,A,A
약사,임상실무약학,E,E,E
약사,임상실무약학,A,A,A
감정평가사,민법,B,B,B
감정평가사,민법,A,A,A
감정평가사,민법,B,B,B
감정평가사,민법,C,D,D
감정평가사,민법,B,B,B
감정평가사,민법,E,E,E
감정평가사,민법,D,A,A
감정평가사,민법,E,E,E
한약사,한약학 응용,B,B,B
한약사,한약학 응용,B,B,B
한약사,한약학 응용,D,D,D
한약사,한약학 응용,E,E,E
한약사,한약학 응용,D,D,D
한약사,한약학 응용,B,B,B
변리사,산업재산권법,B,B,B
변리사,산업재산권법,D,D,D
의사,의학각론,D,D,D
의사,의학각론,C,C,C
의사,의학각론,A,A,A
의사,의학각론,B,B,B
의사,의학각론,A,A,A
의사,의학각론,C,C,C
의사,의학각론,B,B,B
의사,의학각론,A,A,A
공인노무사,경제학원론,A,A,A
공인노무사,경제학원론,D,D,D
공인노무사,경제학원론,E,E,E
공인노무사,경제학원론,D,D,D
공인노무사,경제학원론,B,B,B
공인노무사,경제학원론,E,E,E
공인노무사,경제학원론,E,E,E
공인노무사,경제학원론,A,A,A
한의사,보건의약관계법규,E,E,E
한의사,보건의약관계법규,B,B,B
한의사,보건의약관계법규,D,D,D
한의사,보건의약관계법규,D,D,D
한의사,보건의약관계법규,D,D,D
한의사,보건의약관계법규,C,E,E
한의사,보건의약관계법규,B,B,B
한의사,보건의약관계법규,E,A,A
의사,의학각론,C,C,C
의사,의학각론,C,C,C
의사,의학각론,D,D,D
의사,의학각론,A,A,A
의사,의학각론,C,C,C
의사,의학각론,D,D,D
의사,의학각론,D,D,D
의사,의학각론,A,A,A
약사,임상실무약학,D,D,D
약사,임상실무약학,A,A,A
약사,임상실무약학,D,D,D
약사,임상실무약학,D,D,D
약사,임상실무약학,C,C,C
약사,보건의약관계법규,A,C,C
약사,보건의약관계법규,B,D,D
약사,보건의약관계법규,D,D,D
변호사,민사법,B,B,B
변호사,민사법,D,B,B
변호사,민사법,E,A,A
변호사,민사법,C,A,A
변호사,민사법,D,D,D
변호사,민사법,A,A,A
변호사,민사법,C,C,C
변호사,민사법,E,A,A
공인노무사,경제학원론,B,B,B
공인노무사,경제학원론,E,E,E
공인노무사,경제학원론,D,B,B
공인노무사,경제학원론,B,B,B
공인노무사,경제학원론,D,D,D
공인노무사,경제학원론,C,C,C
공인노무사,경제학원론,E,E,E
공인노무사,경제학원론,D,D,D
변리사,산업재산권법,E,E,E
변리사,산업재산권법,B,D,D
변리사,산업재산권법,A,A,A
변리사,산업재산권법,C,C,C
변리사,산업재산권법,D,D,D
변리사,산업재산권법,A,A,A
변리사,산업재산권법,E,D,D
변리사,산업재산권법,E,C,C
공인노무사,경제학원론,C,C,C
공인노무사,경제학원론,A,A,A
공인노무사,경제학원론,D,D,D
공인노무사,경제학원론,A,A,A
공인노무사,경제학원론,E,E,E
공인노무사,경제학원론,E,E,E
공인노무사,경제학원론,E,E,E
공인노무사,경제학원론,E,E,E
의사,의학각론,B,B,B
의사,의학각론,A,A,A
의사,의학각론,B,B,B
의사,의학각론,A,A,A
의사,의학각론,D,D,D
의사,의학각론,C,A,A
의사,의학각론,C,C,C
의사,의학각론,A,A,A
감정평가사,민법,C,C,C
감정평가사,민법,B,B,B
감정평가사,민법,C,C,C
감정평가사,민법,A,A,A
감정평가사,민법,A,A,A
감정평가사,민법,B,E,E
감정평가사,민법,B,D,D
감정평가사,민법,A,E,E
공인노무사,경제학원론,D,D,D
공인노무사,경제학원론,D,D,D
공인회계사,경영학,C,C,C
공인회계사,경영학,B,B,B
공인회계사,경영학,C,C,C
공인회계사,경영학,D,D,D
공인회계사,경영학,E,E,E
공인회계사,경영학,A,A,A
의사,의학각론,E,E,E
의사,의학각론,A,A,A
의사,의학각론,A,A,A
의사,의학각론,D,D,D
의사,의학각론,E,E,E
의사,의학각론,B,B,B
의사,의학각론,D,D,D
의사,의학각론,E,E,E
감정평가사,경제학원론,E,E,E
감정평가사,경제학원론,D,D,D
감정평가사,경제학원론,D,D,D
감정평가사,경제학원론,C,C,C
감정평가사,경제학원론,D,D,D
감정평가사,경제학원론,B,B,B
감정평가사,경제학원론,A,A,A
감정평가사,경제학원론,E,E,E
의사,의학각론,E,E,E
의사,의학각론,B,B,B
의사,의학각론,A,A,A
의사,의학각론,E,E,E
의사,의학각론,C,C,C
의사,의학각론,B,B,B
의사,의학각론,A,A,A
의사,의학각론,A,A,A
관세사,무역영어,A,A,A
관세사,무역영어,B,B,B
관세사,무역영어,D,D,D
관세사,무역영어,E,E,E
관세사,무역영어,E,E,E
관세사,무역영어,D,D,D
관세사,무역영어,E,E,E
관세사,무역영어,E,B,B
한의사,보건의약관계법규,E,E,E
한의사,보건의약관계법규,C,C,C
한의사,보건의약관계법규,A,C,C
한의사,보건의약관계법규,D,E,E
한의사,보건의약관계법규,E,E,E
한의사,외과학,E,E,E
한의사,외과학,B,B,B
한의사,외과학,E,E,E
공인회계사,경영학,D,D,D
공인회계사,경영학,E,E,E
공인회계사,경영학,D,D,D
공인회계사,경영학,C,C,C
공인회계사,경영학,A,A,A
공인회계사,경영학,B,D,D
공인회계사,경영학,D,D,D
공인회계사,경영학,C,C,C
변리사,산업재산권법,C,C,C
변리사,산업재산권법,D,D,D
변리사,산업재산권법,B,B,B
변리사,산업재산권법,C,A,A
변리사,산업재산권법,E,E,E
변리사,산업재산권법,A,A,A
변리사,산업재산권법,C,E,E
변리사,산업재산권법,D,D,D
의사,의학각론,B,B,B
의사,의학각론,D,D,D
의사,의학각론,B,B,B
의사,의학각론,D,D,D
의사,의학각론,C,C,C
의사,의학각론,D,D,D
의사,의학각론,A,A,A
의사,의학각론,D,D,D
감정평가사,경제학원론,C,C,C
감정평가사,경제학원론,E,E,E
감정평가사,경제학원론,A,A,A
감정평가사,경제학원론,C,C,C
감정평가사,경제학원론,A,A,A
감정평가사,경제학원론,E,E,E
감정평가사,경제학원론,E,E,E
감정평가사,경제학원론,A,A,A
변호사,민사법,A,E,E
변호사,민사법,D,D,D
변호사,민사법,E,C,C
변호사,민사법,E,A,A
변호사,민사법,C,C,C
변호사,민사법,E,C,C
변호사,민사법,E,B,B
변호사,민사법,B,B,B
한의사,외과학,E,E,E
한의사,신경정신과학,A,A,A
한의사,신경정신과학,A,A,A
한의사,신경정신과학,B,B,B
한의사,신경정신과학,C,C,C
한의사,신경정신과학,E,E,E
한의사,신경정신과학,E,E,E
한의사,신경정신과학,A,A,A
약사,보건의약관계법규,C,D,D
약사,보건의약관계법규,A,D,D
약사,보건의약관계법규,D,E,E
약사,보건의약관계법규,D,D,D
약사,보건의약관계법규,A,A,A
약사,보건의약관계법규,B,B,B
약사,보건의약관계법규,E,E,E
약사,보건의약관계법규,D,D,D
관세사,무역영어,C,C,C
관세사,무역영어,D,D,D
관세사,무역영어,D,D,D
관세사,무역영어,B,B,B
관세사,무역영어,D,D,D
관세사,무역영어,B,B,B
관세사,무역영어,C,C,C
관세사,무역영어,B,B,B
의사,의학각론,C,C,C
의사,의학각론,B,B,B
의사,의학각론,C,C,C
의사,의학각론,D,D,D
의사,의학각론,D,D,D
의사,의학각론,D,D,D
의사,의학각론,B,B,B
의사,의학각론,A,A,A
감정평가사,경제학원론,B,B,B
감정평가사,경제학원론,A,A,A
감정평가사,경제학원론,D,D,D
감정평가사,경제학원론,C,C,C
감정평가사,경제학원론,D,D,D
감정평가사,경제학원론,C,C,C
감정평가사,경제학원론,B,B,B
감정평가사,경제학원론,E,E,E
의사,의학각론,A,A,A
의사,의학각론,D,B,B
의사,의학각론,B,B,B
의사,의학각론,D,D,D
의사,의학각론,B,B,B
의사,의학각론,D,D,D
의사,의학각론,E,E,E
의사,의학각론,C,C,C
한의사,신경정신과학,E,B,B
한의사,신경정신과학,E,E,E
한의사,신경정신과학,D,D,D
한의사,신경정신과학,B,C,C
한의사,신경정신과학,D,D,D
한의사,신경정신과학,B,B,B
한의사,신경정신과학,D,D,D
한의사,안이비인후과학,D,D,D
감정평가사,경제학원론,A,A,A
감정평가사,경제학원론,B,B,B
감정평가사,경제학원론,C,C,C
감정평가사,경제학원론,B,B,B
감정평가사,경제학원론,D,D,D
감정평가사,경제학원론,C,C,C
감정평가사,경제학원론,E,E,E
감정평가사,경제학원론,D,D,D
약사,보건의약관계법규,A,D,D
약사,보건의약관계법규,E,E,E
약사,보건의약관계법규,A,A,A
약사,보건의약관계법규,E,E,E
약사,보건의약관계법규,C,C,C
약사,보건의약관계법규,B,B,B
약사,보건의약관계법규,B,B,B
약사,보건의약관계법규,D,B,B
공인회계사,경영학,E,E,E
공인회계사,경영학,A,A,A
공인회계사,경영학,A,E,E
공인회계사,경영학,C,C,C
공인회계사,경영학,D,D,D
공인회계사,경영학,E,E,E
공인회계사,경영학,E,E,E
공인회계사,경영학,B,B,B
변리사,산업재산권법,B,B,B
변리사,산업재산권법,E,E,E
변리사,산업재산권법,E,E,E
변리사,산업재산권법,E,B,B
변리사,산업재산권법,E,B,B
변리사,산업재산권법,C,C,C
변리사,산업재산권법,B,B,B
변리사,산업재산권법,D,A,A
감정평가사,경제학원론,B,B,B
감정평가사,경제학원론,B,B,B
감정평가사,경제학원론,C,C,C
감정평가사,경제학원론,D,D,D
감정평가사,경제학원론,A,A,A
감정평가사,경제학원론,C,C,C
감정평가사,부동산학원론,B,B,B
감정평가사,부동산학원론,D,D,D
한의사,안이비인후과학,C,C,C
한의사,안이비인후과학,B,B,B
한의사,안이비인후과학,A,A,A
한의사,안이비인후과학,C,C,C
한의사,안이비인후과학,C,C,C
한의사,안이비인후과학,B,D,D
한의사,부인과학,D,D,D
한의사,부인과학,B,B,B
약사,보건의약관계법규,C,C,C
세무사,재정학,B,B,B
세무사,재정학,A,A,A
세무사,재정학,B,B,B
세무사,재정학,B,B,B
세무사,재정학,A,A,A
세무사,재정학,B,B,B
세무사,재정학,D,E,E
공인회계사,경영학,B,B,B
공인회계사,경영학,A,A,A
공인회계사,경영학,B,B,B
공인회계사,경영학,B,B,B
공인회계사,경영학,A,A,A
공인회계사,경영학,D,D,D
공인회계사,경영학,B,B,B
공인회계사,경영학,A,A,A
공인회계사,경영학,A,A,A
공인회계사,경영학,E,E,E
공인회계사,경영학,C,C,C
공인회계사,경영학,D,D,D
공인회계사,경영학,E,E,E
공인회계사,경영학,B,B,B
공인회계사,경영학,D,D,D
공인회계사,경영학,B,B,B
한의사,부인과학,E,E,E
한의사,부인과학,D,D,D
한의사,부인과학,D,D,D
한의사,부인과학,E,E,E
한의사,부인과학,D,D,D
한의사,부인과학,C,C,C
한의사,부인과학,A,A,A
한의사,부인과학,C,C,C
관세사,무역영어,B,B,B
관세사,내국소비세법,C,C,C
관세사,내국소비세법,D,D,D
관세사,내국소비세법,B,D,D
관세사,내국소비세법,C,C,C
관세사,내국소비세법,A,A,A
관세사,내국소비세법,D,B,B
관세사,내국소비세법,D,D,D
세무사,재정학,C,C,C
세무사,재정학,C,C,C
세무사,재정학,C,C,C
세무사,재정학,A,A,A
세무사,재정학,E,E,E
세무사,재정학,D,D,D
세무사,재정학,C,C,C
세무사,재정학,B,B,B
변호사,민사법,B,B,B
변호사,민사법,C,D,D
변호사,민사법,C,C,C
변호사,민사법,B,E,E
변호사,민사법,A,A,A
변호사,민사법,B,B,B
변호사,민사법,D,D,D
변호사,민사법,A,A,A
감정평가사,부동산학원론,C,C,C
감정평가사,부동산학원론,E,E,E
감정평가사,부동산학원론,C,C,C
감정평가사,부동산학원론,C,C,C
감정평가사,부동산학원론,E,E,E
감정평가사,부동산학원론,C,C,C
감정평가사,부동산학원론,B,B,B
감정평가사,부동산학원론,A,A,A
변리사,산업재산권법,D,D,D
변리사,산업재산권법,A,A,A
변리사,산업재산권법,C,C,C
변리사,산업재산권법,A,D,D
변리사,산업재산권법,A,D,D
변리사,산업재산권법,C,C,C
변리사,산업재산권법,B,C,C
변리사,산업재산권법,E,E,E
의사,의학각론,A,A,A
법무사,가족관계의등록등에관한법률,C,D,D
법무사,가족관계의등록등에관한법률,D,B,B
법무사,가족관계의등록등에관한법률,B,B,B
법무사,가족관계의등록등에관한법률,E,E,E
법무사,가족관계의등록등에관한법률,E,A,A
법무사,가족관계의등록등에관한법률,D,D,D
법무사,가족관계의등록등에관한법률,E,D,D
공인회계사,경영학,C,C,C
공인회계사,경영학,C,C,C
공인회계사,경제원론,A,A,A
공인회계사,경제원론,A,A,A
공인회계사,경제원론,D,D,D
공인회계사,경제원론,B,B,B
공인회계사,경제원론,E,E,E
공인회계사,경제원론,C,C,C
세무사,재정학,A,A,A
세무사,재정학,A,A,A
세무사,재정학,E,E,E
세무사,재정학,D,D,D
세무사,재정학,E,E,E
세무사,재정학,B,B,B
세무사,재정학,D,D,D
세무사,재정학,E,E,E
한의사,부인과학,B,B,B
한의사,부인과학,A,A,A
한의사,부인과학,E,A,A
한의사,부인과학,B,B,B
한의사,부인과학,E,E,E
한의사,부인과학,D,D,D
한의사,부인과학,C,A,A
한의사,부인과학,A,A,A
공인회계사,경제원론,E,E,E
공인회계사,경제원론,A,A,A
공인회계사,경제원론,E,E,E
공인회계사,경제원론,E,E,E
공인회계사,경제원론,D,D,D
공인회계사,경제원론,E,E,E
공인회계사,경제원론,A,A,A
공인회계사,경제원론,D,D,D
감정평가사,부동산학원론,D,D,D
감정평가사,부동산학원론,B,A,A
감정평가사,부동산학원론,E,E,E
감정평가사,부동산학원론,E,E,E
감정평가사,부동산학원론,D,D,D
감정평가사,부동산학원론,D,D,D
감정평가사,부동산학원론,A,A,A
감정평가사,부동산학원론,B,B,B
한의사,부인과학,A,A,A
한의사,부인과학,C,C,C
한의사,부인과학,C,C,C
한의사,부인과학,B,B,B
한의사,부인과학,E,E,E
한의사,부인과학,B,B,B
한의사,부인과학,A,C,C
한의사,부인과학,C,C,C
세무사,재정학,D,D,D
세무사,재정학,A,A,A
세무사,재정학,B,B,B
세무사,재정학,E,E,E
세무사,재정학,E,E,E
세무사,재정학,C,C,C
세무사,재정학,D,D,D
세무사,재정학,D,D,D
공인회계사,경제원론,C,C,C
공인회계사,경제원론,D,D,D
공인회계사,경제원론,C,C,C
공인회계사,경제원론,B,B,B
공인회계사,경제원론,C,C,C
공인회계사,경제원론,B,B,B
공인회계사,경제원론,A,A,A
공인회계사,경제원론,E,E,E
관세사,내국소비세법,E,D,D
관세사,내국소비세법,C,C,C
관세사,내국소비세법,D,D,D
관세사,내국소비세법,A,A,A
관세사,내국소비세법,B,C,C
관세사,내국소비세법,E,E,E
관세사,내국소비세법,E,B,B
관세사,내국소비세법,B,B,B
공인회계사,경제원론,D,D,D
공인회계사,경제원론,D,D,D
공인회계사,경제원론,E,E,E
공인회계사,경제원론,B,B,B
공인회계사,경제원론,B,B,B
공인회계사,경제원론,C,C,C
공인회계사,경제원론,C,C,C
공인회계사,경제원론,B,B,B
한의사,부인과학,E,E,E
한의사,부인과학,D,D,D
한의사,부인과학,B,C,C
한의사,부인과학,A,A,A
한의사,소아과학,B,B,B
한의사,소아과학,C,C,C
한의사,소아과학,B,B,B
한의사,소아과학,C,A,A
세무사,재정학,E,E,E
세무사,재정학,C,C,C
세무사,재정학,D,D,D
세무사,재정학,C,C,C
세무사,재정학,D,D,D
세무사,재정학,B,B,B
세무사,재정학,A,A,A
세무사,재정학,E,E,E
변호사,민사법,A,A,A
변호사,민사법,D,D,D
변호사,민사법,E,B,B
변호사,민사법,C,D,D
