qid,category,subcategory,level,answer,pred,response
9,Syntax,Embedded Clauses,2,B,B,"""보리쌀을 섞은 밥""에서 '섞은'이 관형사형 어미로 명사 '밥'을 수식하는 관형절입니다. 다른 문장들은 서술절이나 명사절을 안은 문장입니다.

### ANSWER
B"
10,Syntax,Embedded Clauses,2,D,D,"D. ""밤이 새도록""은 부사형 어미 '-도록'이 결합된 안긴 문장으로, 문장 전체에서 부사어 역할을 한다.

### ANSWER
D"
11,Syntax,Embedded Clauses,2,F,F,"F에서 ""딸꾹질하던""은 관형사형 어미 '-던'이 붙어 체언 '빈민'을 수식하는 관형절로, 안긴 문장이 관형어 역할을 합니다. 나머지는 명사절(주어/목적어) 또는 서술절, 부사절입니다.

### ANSWER
F"
350,Syntax,Argument Structure & Valency,1,A,A,"제안하다는 '누가(주어) 누구에게(부사어) 무엇을(목적어) 제안하다'의 구조로 필수 성분이 세 개 필요한 세 자리 서술어입니다. 다른 선택지들은 대부분 두 자리 또는 한 자리 서술어입니다.

### ANSWER
A"
351,Syntax,Argument Structure & Valency,2,A,A,"""박다""는 주어(누가), 부사어(어디에), 목적어(무엇을)라는 세 가지 필수 성분을 요구하는 세 자리 서술어입니다. ""옥수수 밭 둘레에""와 ""말뚝을""이 모두 필수적으로 요구되는 성분이며, 이를 빼면 문장이 불완전해집니다. 다른 선택지들의 서술어는 대부분 두 자리(주어+목적어 또는 주어+부사어)만 필수로 요구합니다.

### ANSWER
A"
352,Semantics,Ambiguity,3,J,J,"지문의 문장에서 애매성은 두 가지 원인에서 발생합니다: (1) ""그""가 유민이인지 지우인지, (2) ""좋아한""이 ""직원""만 수식하는지 ""직원의 지인"" 전체를 수식하는지의 통사적 중의성입니다. J의 수정문(""지우가 좋아했던 직원의 지인을 유민이가 지우에게 소개했다"")은 ""그""를 ""지우""로 명시하여 첫 번째 중의성은 해소하지만, 쉼표 등 통사적 표시가 없어 ""좋아했던""이 ""직원""을 수식하는지 ""직원의 지인""을 수식하는지에 대한 두 번째 중의성은 여전히 남아 있습니다. 따라서 이 문장이 ""한 가지 뜻으로만 해석된다""는 J의 설명은 옳지 않습니다.

### ANSWER
J"
353,Syntax,Argument Structure & Valency,3,E,E,"""설치하다""는 ""누가(주어) 무엇을(목적어) 어디에(필수 부사어) 설치하다""의 구조로, 주어·목적어·필수적 부사어까지 세 개의 필수 성분을 요구하는 세 자리 서술어이다. 다른 보기들은 대부분 두 자리 혹은 한 자리 서술어에 해당한다.

### ANSWER
E"
12,Syntax,Embedded Clauses,1,F,F,"F에서 ""아까 녹여둔""은 관형사형 어미 '-은'을 통해 뒤에 오는 명사 '밥'을 수식하는 관형어 역할을 하는 안긴 문장입니다. 나머지는 명사절(주어, 목적어, 보어 등) 역할을 하고 있습니다.

### ANSWER
F"
13,Syntax,Embedded Clauses,2,J,J,"한국어 문법에서 부사절은 '-이, -게, -도록, -다시피' 등의 부사형 어미로 형성됩니다. J의 ""도망치다시피""는 부사형 어미 '-다시피'가 붙어 뒤의 서술어 '뛰어나갔다'를 수식하는 부사절을 안은 문장입니다. 다른 문장들은 명사절(A, H), 관형절(C, G, I), 인용절 등에 해당합니다.

### ANSWER
J"
14,Pragmatics,Discourse Principles,2,H,H,"갑이 ""하던 일은 거의 다 됐겠네""라고 추측하자, 을은 그와 직접 관련되지 않은 ""오늘 야근 확정이야""라는 대답을 함으로써 관련성의 격률을 의도적으로 위배하고 있다. 이는 실제로는 일이 끝나지 않았다는 의미를 함축적으로 전달하며 갑의 추측을 반박하는 기능을 한다.

### ANSWER
H"
15,Pragmatics,Discourse Principles,1,H,H,"을은 날씨를 묻는 질문에 관련 없는 '무릎이 쑤신다'는 대답을 하여 관련성의 격률을 의도적으로 위반하고 있습니다. 이는 표면적으로는 무관한 대답이지만, 실제로는 관절통을 통해 비가 올 것을 암시하는 간접화행으로 볼 수 있어 대화의 관련성을 고의적으로 지키지 않은 대표적 사례입니다.

### ANSWER
H"
183,Pragmatics,Speech Acts,3,G,F,"### ANSWER
F"
184,Phonetics/Phonology,Phonological Alternation,2,B,B,"깎다의 받침 'ㄲ'은 서로 다른 두 자음이 아니라 같은 자음이 겹쳐진 것으로, 이는 자음군 단순화가 아니라 음절의 끝소리 규칙(대표음화)에 해당합니다. 나머지는 모두 서로 다른 두 자음이 겹친 받침에서 하나가 탈락하는 자음군 단순화 현상을 보입니다.

### ANSWER
B"
185,Pragmatics,Speech Acts,1,D,D,"D는 ""기한이 언제까지인지 궁금합니다""로, 형식은 평서문이지만 실제로는 정보를 요청하는 질문 유형에 해당한다. 제시된 문장도 서류 종류를 묻는 질문이므로 같은 유형이다.

### ANSWER
D"
186,Phonetics/Phonology,Phonological Alternation,3,C,C,"받침 뒤에 조사(‘을’)처럼 모음으로 시작하는 형태소가 오면 연음이 일어나 원래 받침 소리가 그대로 다음 음절로 이어지므로, ‘밭을’은 [바틀]로 발음되어 음절의 끝소리 규칙(대표음화)이 적용되지 않는다. 나머지 단어들은 모두 자음 앞이나 단어 끝에서 대표음으로 바뀌는 끝소리 규칙이 적용된다.

### ANSWER
C"
354,Semantics,Ambiguity,1,G,G,"""친구의 책을 그는 좋아한다.""는 어순만 바뀐 문장으로, ""친구의 책""이 '친구가 소유한 책'인지 '친구가 쓴 책'인지의 중의성은 그대로 남아있다. 따라서 이 문장이 중의적이지 않다는 진술은 적절하지 않다.

### ANSWER
G"
355,Syntax,Agreement,2,A,F,"주어진 문맥은 ""국악인이 명창에게""로, 국악(전통 음악)과 관련된 상황을 전제로 합니다. 다른 선택지들은 모두 명창과의 관계에서 자연스럽게 이어지는 행동(배움, 반박, 애걸, 부탁 등)을 나타내지만, F의 ""러시아어를 배우겠다고 했다""는 국악과 전혀 관련 없는 내용으로 문맥과 호응하지 않습니다.

### ANSWER
F"
356,Syntax,Agreement,2,F,F,"'절대'는 부정적 서술어(~하지 마라, ~않다, ~안 된다 등)와 함께 쓰여야 자연스러운데, F는 ""올 것이다""라는 긍정 평서형으로 호응이 맞지 않는다.

### ANSWER
F"
357,Semantics,Inter-sentence Relations,2,F,F,"지문에서는 음식과 옷만 언급되었는데, F는 전자제품에 관한 내용으로 질문의 맥락과 무관합니다.

### ANSWER
F"
529,Semantics,Numeral Classifiers,2,E,E,"금은 무게 단위(그램, 킬로그램 등)로 거래되므로 ""30킬로그램""이라는 표현이 자연스럽고 적절합니다. 나머지 선택지들은 금과 관련 없는 단위(량, 병, 말, 관, 박스, 돈, 척, 단 등)를 사용하거나 문맥에 맞지 않는 표현입니다.

### ANSWER
E"
530,Semantics,Numeral Classifiers,1,I,I,"오이는 얇고 평평한 것에 쓰는 단위인 '장'으로 세지 않으며, 보통 '개' 또는 얇게 썬 경우 '조각'으로 세므로 어색합니다.

### ANSWER
I"
531,Semantics,Numeral Classifiers,1,E,E,"'필(匹)'은 말이나 소 등 큰 동물을 세는 단위이며, 고양이는 '마리'로 세어야 하므로 E가 가장 어색합니다.

### ANSWER
E"
532,Syntax,Embedded Clauses,3,I,,[EMPTY_RESPONSE]
187,Phonetics/Phonology,Phonological Alternation,3,I,I,"<보기>의 '닻[닫]'은 음절 끝에서 자음이 대표음으로 바뀌는 음절의 끝소리 규칙(평파열음화)이 적용된 예입니다. 대부분의 선택지는 받침 뒤에 자음이 오거나 단독으로 쓰여 이 규칙이 적용되지만, '밖에'는 뒤에 모음으로 시작하는 조사 '에'가 이어져 받침 'ㄲ'이 그대로 연음되므로 끝소리 규칙이 적용되지 않습니다.

### ANSWER
I"
188,Pragmatics,Implicature,2,D,D,"D는 농구를 좋아하냐는 질문에 대해 경기를 항상 보러 간다고 답함으로써 오히려 긍정의 의미를 나타내고 있어, 부정이나 거절의 표현이 아닙니다.

### ANSWER
D"
189,Syntax,Argument Structure & Valency,3,B,J,"건립하다는 '무엇을 세우다'라는 뜻으로, 문맥에 따라 항상 주어와 목적어를 필요로 하는 두 자리 서술어로 고정되어 있어 자릿수가 변하지 않는다. 나머지 단어들은 문맥에 따라 한 자리 또는 두 자리 서술어로 쓰일 수 있다.

### ANSWER
J"
190,Syntax,Argument Structure & Valency,1,F,F,"F에서 '헛살았다'는 주어인 '나'가 직접 살아가는 행위를 한 것을 나타내는 능동 동사이며, 다른 문장들은 상태 변화나 피동적 의미(잊혔다, 동났다, 밑돈다 등)를 나타내는 표현입니다.

### ANSWER
F"
16,Pragmatics,Discourse Principles,2,D,D,"D는 배가 고파서 밥을 먹었다는 사실을 있는 그대로 답한 진솔한 발화로, 의도적으로 근거 없거나 명백히 거짓인 정보를 제공한 것이 아니다. 나머지는 반어, 과장, 비유적 표현 등을 통해 명백히 거짓이거나 근거 없는 진술을 하고 있다.

### ANSWER
D"
17,Pragmatics,Social Relationship Marking,2,G,G,"상담 주간에 부모님을 모시고 오라는 말은 교사가 학생에게 하는 말로, 두 화자가 교사와 학생, 즉 사제 관계임을 명확히 보여줍니다. 다른 보기들은 손님-점원, 친구, 가족 등 다른 관계를 나타냅니다.

### ANSWER
G"
18,Pragmatics,Speech Acts,2,C,I,"정답은 화자가 실제로 궁금하거나 확신이 없어서 청자의 의견이나 정보를 구하는 발화를 찾는 것입니다. 대부분의 예문(A, B, C, D, E, F, G, H, J)은 수사적 의문문으로, 실제 대답을 구하는 것이 아니라 비난, 항의, 감탄 등의 의미를 강조하기 위해 사용됩니다. 반면 I는 글의 완성도를 높이기 위해 해결책 제시가 필요한지에 대한 화자의 실제 생각을 청자에게 확인받고자 하는 진짜 질문입니다.

### ANSWER
I"
19,Pragmatics,Speech Acts,3,F,C,"원문 ""이제 그만 나가 주셔야겠습니다.""는 평서문 형식을 사용해 실제로는 명령(지시)의 화행을 간접적으로 수행하는 예입니다. 대부분의 선택지들도 의문문이나 희망 표현 등 다른 문장 유형을 통해 간접적으로 명령·요청의 기능을 수행합니다. 반면 C의 ""그건 지지니까 만지면 못써요.""는 '못써요'라는 표현으로 금지 사항을 직접적으로 명시하는 발화로, 문장 형식과 화행 기능이 일치하는 직접 화행에 해당하여 간접 화행의 예로 보기 어렵습니다.

### ANSWER
C"
20,Pragmatics,Speech Acts,2,A,A,"한국어에서 명령/요청 화행은 청자의 행동을 요구하는 발화입니다. 대부분의 선택지는 직접적이거나 간접적으로 청자에게 어떤 행동을 하거나 하지 말도록 요구하는 형태입니다(부탁, 지시, 경고 등). 그러나 A는 ""다음에는 너도 한 번은 하게 해 주지""로, 화자가 미래에 자신이 할 행동(허락해 주겠다는 약속)을 서술하는 것으로, 청자에게 특정 행동을 요구하는 명령/요청의 기능이 아닙니다.

### ANSWER
A"
21,Syntax,Embedded Clauses,2,G,G,"G는 “겨울잠을 자기(에) 너무 이르지”로, ‘-기에’ 형태의 부사절이 안겨 있는 문장입니다. 다른 문장들은 대부분 명사절(‘-음/-기/-지’ 등)이나 관계절(안은문장) 구조를 가지고 있어 부사절이 아닙니다.

### ANSWER
G"
22,Syntax,Embedded Clauses,1,C,C,"C: ""숨이 차도록""은 부사절로, 서술어 ""달렸다""를 수식하는 부사어 역할을 한다.

### ANSWER
C"
23,Syntax,Embedded Clauses,2,H,H,"H는 '밀렵꾼이 (말버릇이 참 고약하다)' 구조로, 안긴 문장 '말버릇이 참 고약하다'가 전체 문장의 서술어 역할을 하는 서술절로 안겨 있다.

### ANSWER
H"
24,Syntax,Embedded Clauses,2,E,E,"### ANSWER
E"
25,Syntax,Embedded Clauses,3,J,J,"J는 ""이 휘발유는 구린내가 심하다""로, 주어 ""이 휘발유는""에 대해 ""구린내가 심하다""라는 주어-서술어 구조 전체가 서술어 역할을 하는 서술절을 안은 문장입니다.

### ANSWER
J"
26,Syntax,Embedded Clauses,2,G,G,"### ANSWER
G"
27,Syntax,Embedded Clauses,3,G,G,"**G**를 보면 “팀장님이 토론에 참석했음”이라는 명사절이 서술어 “전해 듣지 못했다”의 목적어 역할을 하고 있습니다. 여기서 조사 ‘은’은 목적격 조사 ‘을’ 대신 강조·대조의 의미로 쓰인 것으로, 문장 구조상 이 명사절은 목적어에 해당합니다. 다른 선택지들은 명사절이 주어(F, H, I)나 서술어(D) 역할을 하고 있어 목적어절이 아닙니다.

### ANSWER
G"
533,Syntax,Agreement,1,B,B,"B는 뱀장어의 뱃가죽 모양을 직접 보지 않고 추론하여 말하는 것으로, '-겠'이 화자의 추측을 나타내는 전형적인 용법입니다. 다른 선택지들은 능력, 의도, 계획, 가능성 등 다른 의미로 쓰였습니다.

### ANSWER
B"
534,Syntax,Agreement,3,I,A,"한국어에서 '-겠-'과 '-을 것'은 의미상 크게 ①화자의 의지·약속(B, C, H, J), ②원망/희망(D, F), ③미래에 대한 추측·전망(G, I), ④능력·가능성에 대한 질문(E) 등으로 나눌 수 있습니다. A의 “누가 뼈대를 깎겠어?”는 반어적 표현으로 부정적 추측(“아무도 하지 못할 것이다”)을 나타내는 독특한 용법으로, 다른 선지들과 동일한 의미 기능을 공유하지 않습니다.

### ANSWER
A"
535,Syntax,Embedded Clauses,3,D,D,"D는 관형절, 명사절, 인용절, 서술절 등 문장 안에 다른 문장이 포함된 요소가 없이 단순한 부사어(“학생들 앞에서”)만 있는 홑문장입니다. 나머지는 모두 관형절·명사절·서술절·인용절을 포함한 겹문장입니다.

### ANSWER
D"
536,Syntax,Agreement,2,E,E,"E는 “스트레스가 많으니 힘들겠네”로, 화자가 상황을 근거로 결과를 미루어 판단하는 전형적인 ‘추측’ 용법에 해당한다. 다른 문항들은 각각 의지, 가능, 완곡 등의 의미가 ‘추측’ 또는 다른 용법으로 잘못 연결되어 있다.

### ANSWER
E"
537,Syntax,Embedded Clauses,3,C,C,"C는 '생각에 잠기곤 하다'라는 단순한 서술 구조로, 관형절·명사절·인용절·부사절 등 다른 문장을 안고 있는 구조가 없는 홑문장입니다. 나머지는 모두 관형절, 명사절, 서술절, 인용절, 부사절 등을 포함한 안은 문장입니다.

### ANSWER
C"
538,Syntax,Embedded Clauses,3,J,J,"J의 '해치우려고 한다'는 본용언과 보조용언의 결합으로, 절이 안겨 있는 구조가 아닌 단순한 문장입니다. 나머지는 명사절, 서술절, 관형절, 부사절, 인용절 등이 안겨 있는 안은 문장입니다.

### ANSWER
J"
539,Syntax,Embedded Clauses,2,E,E,"E는 ""흑사병이 완치될 수 없음을""이라는 명사절이 안겨 있어 안은 문장에 해당합니다. 다른 문장들은 단순한 홑문장 구조입니다.

### ANSWER
E"
540,Syntax,Embedded Clauses,2,E,E,"E는 ""사람 보는 안목""에서 ""사람 보는""이라는 관형사절이 명사 '안목'을 수식하며 문장 속에 안겨 있으므로 안은 문장에 해당한다. 다른 문장들은 단순문이거나 연결어미로 이어진 이어진 문장이다.

### ANSWER
E"
358,Syntax,Argument Structure & Valency,3,G,G,"""알아차리다""는 '누가 무엇을 알아차리다'의 구조로 주어와 목적어만 필수로 요구하는 두 자리 서술어입니다. 반면 다른 보기들은 주어만 필요한 한 자리 서술어(등교하다, 외식하다, 잠수하다, 성장하다, 숨지다)이거나, 부사어까지 필수로 요구하는 세 자리 서술어(변경하다, 제출하다, 간직하다, 활용하다)에 해당합니다.

### ANSWER
G"
359,Syntax,Argument Structure & Valency,3,J,,[EMPTY_RESPONSE]
360,Semantics,Conjunctions,1,F,F,"지문은 ""물병을 넘어뜨림""이 원인이 되어 ""바닥이 젖음""이라는 결과로 이어지는 인과 관계를 나타냅니다. 따라서 빈칸에는 원인-결과를 나타내는 접속어(그래서, 이로 인해, 그러므로 등)가 적절하며, 예시를 나타내는 ""가령""은 이 문맥과 맞지 않습니다. F는 두 번째 문장이 첫 번째 문장의 예시라고 잘못 설명하고 있으므로 적절하지 않은 설명입니다.

### ANSWER
F"
361,Syntax,Agreement,3,C,F,"자연스러운 문장 구조는 ""그는 [관공서의 직원이 ~한/하는] N을 V했다"" 형태로 결합되는데, F의 ""재촉하다""는 사람이나 행위(제출, 보고 등)를 대상으로 삼는 동사로, ""정보를 재촉했다""는 목적어 호응이 어색하다. 나머지 선택지들은 모두 ""직원이 ~한/하는"" 관형절이 이어지는 명사나 인용문과 자연스럽게 호응한다.

### ANSWER
F"
191,Syntax,Argument Structure & Valency,3,D,,[EMPTY_RESPONSE]
192,Syntax,Argument Structure & Valency,3,H,H,"<보기>는 자동사 주어의 기저 생성 위치가 의미역(행위주 vs. 대상)에 따라 통사적으로 다를 수 있음을 말한다. 나머지 문장들의 주어는 대상역(테마)으로서 동사구 내부에서 기저 생성되는 비능격(비대격) 주어에 해당하지만, H의 '여행사가 설치고 있다'는 주어가 행위주로서 능동적으로 행동하는 의미를 가지므로 동사구 외부(주어 자리)에서 기저 생성되는 비대격이 아닌 주어이다. 따라서 나머지와 통사적 생성 위치가 다르다.

### ANSWER
H"
193,Syntax,Argument Structure & Valency,2,D,D,"비능격동사(unergative verb)는 주어가 의지적으로 행위를 수행하는 동사입니다. ""뽐내다""는 주어(농부)가 스스로 의도적으로 행하는 행위를 나타내므로 비능격동사에 해당합니다. 나머지 문장들의 동사(겹치다, 젖다, 보이다, 번지다, 넘치다, 나타나다, 뜨다, 비치다)는 대부분 비대격동사(unaccusative)로서 주어가 비의지적 상태나 변화를 나타냅니다.

### ANSWER
D"
194,Syntax,Argument Structure & Valency,3,C,D,"한국어에서 서술어의 자릿수는 사전적 의미(다의어 여부)에 따라 논항 구조가 달라지는 경우를 말합니다. '만개하다'는 ""꽃이 만개하다""처럼 오직 한 가지 의미(완전히 피다)로만 쓰이며 항상 한 자리 서술어(주어만 필요)로 고정되어 있어, 의미에 따라 자릿수가 달라지는 예로 적절하지 않습니다. 반면 나머지 단어들은 여러 의미를 가지며 그에 따라 필요한 논항의 수(자릿수)가 달라집니다.

### ANSWER
D"
541,Syntax,Embedded Clauses,1,E,E,"E는 ""그 배우는 뭔가 어설프다""라는 인용절을 안고 있는 문장으로, 전체 문장 속에 하나의 절이 성분으로 포함된 안은문장이다. 다른 문장들은 단순한 단문이거나 이어진 문장에 해당한다.

### ANSWER
E"
542,Syntax,Embedded Clauses,2,C,C,"C의 ""관희는 인상이 좋다""에서 '인상이 좋다'가 서술절로 안겨 있어 전체 문장이 서술절을 포함한 안은문장입니다. 다른 문장들은 부사어나 단순 서술어로 구성된 홑문장에 가깝습니다.

### ANSWER
C"
543,Syntax,Embedded Clauses,2,D,D,"D는 ""이가 시리게""라는 부사절을 안고 있는 문장으로, 안은 문장에 해당한다.

### ANSWER
D"
544,Syntax,Argument Structure & Valency,2,C,C,"C에서 '비수기까진'은 '아니다' 앞에서 보어로 쓰인 것으로, 목적어가 아니라 보어입니다. 나머지는 모두 서술어의 대상이 되는 목적어에 조사가 결합된 형태입니다.

### ANSWER
C"
362,Syntax,Argument Structure & Valency,3,F,B,"'적재하다'는 '(누가) 무엇을 적재하다'의 구조로 주어와 목적어 두 개의 필수 논항을 요구하는 두자리 서술어입니다. 다른 보기들은 대부분 한자리(자동사/피동사) 또는 세자리(수여동사, 명명 구문) 서술어에 해당합니다.

### ANSWER
B"
363,Syntax,Agreement,2,A,D,"""장모님이 원장이 물냉면을 좋아한다는 것을 좋아하셨다""는 '좋아하다'가 두 번 반복되어 의미가 중복되고 어색합니다. '좋아한다는 사실을 좋아했다'는 표현은 호응이 자연스럽지 않으며, 다른 문장들은 각각의 서술어와 목적어/보어 구조가 자연스럽게 연결됩니다.

### ANSWER
D"
364,Syntax,Agreement,1,G,G,"""~것은"" 구문은 ""~때문이다/~해서였다"" 등의 이유를 나타내는 서술어와 호응해야 합니다. G의 ""인형이 자그마했던 것 같다""는 이유를 나타내는 서술어 형태가 아니며 내용상으로도 친구와 가까워지고 싶은 이유와 전혀 관련이 없어 호응이 부자연스럽습니다.

### ANSWER
G"
365,Syntax,Argument Structure & Valency,2,D,D,"‘입수하다’는 “누가 무엇을 입수하다”의 구조로 주어와 목적어, 즉 두 자리 서술어이다. 다른 예들은 필수적 부사어(예: ‘~으로’, ‘~에’)를 요구하여 세 자리 서술어이거나, 주어만 요구하는 한 자리 서술어이다.

### ANSWER
D"
28,Syntax,Embedded Clauses,2,E,E,"E의 “토마토를 다 먹었음”은 명사절로서 서술어 ‘털어놓다’의 목적어 역할을 하며, 조사 ‘은’이 붙어 목적어가 주제화된 형태입니다. 다른 문장들은 관형절, 부사절, 주어절, 서술어절 등 다른 기능을 합니다.

### ANSWER
E"
29,Pragmatics,Speech Acts,3,C,C,"'성함이 어떻게 되세요?'는 형태상 의문문이면서 실제로도 상대방에게 정보를 요구하는 '질문'의 기능을 수행합니다. 제시된 보기 중 C의 '입에는 좀 맞으셨나 모르겠네요'는 형식은 평서문이지만 실제로는 음식이 입에 맞았는지를 묻는 질문의 기능을 수행하므로, 형식과 기능이 일치하지 않는 다른 명령·감정표현적 의문문들과 달리 순수하게 '질문'의 화행에 해당합니다.

### ANSWER
C"
30,Pragmatics,Speech Acts,2,J,B,"### ANSWER
B"
31,Pragmatics,Speech Acts,2,E,E,"상황상 화자의 실제 의도는 앞을 막고 있는 사람에게 비켜달라는 '명령/요청'이지만, 문장 형식은 '~합시다'라는 청유형 종결표현을 사용하여 간접적으로 의도를 완화해서 드러내고 있다. 이는 발화 의도(명령)와 문장 형식(청유)이 일치하지 않는 대표적인 간접 발화의 예이다.

### ANSWER
E"
545,Syntax,Agreement,2,F,F,"'-겠'과 '-을 것'이 화자의 의지가 아니라 현재 상황을 관찰하고 그에 대한 추측(짐작)을 나타내는 경우를 찾아야 합니다. 대부분의 예문(A, C, D, G)은 '-겠'을 화자의 의지나 결심으로 사용하고 있고, B, E, H는 능력이나 의문을 나타냅니다. F의 ""이 주사위는 평범한 주사위일 것이다""는 눈앞의 대상(이 주사위)을 보고 그 속성을 짐작하는 의미로 '-을 것'이 사용된 전형적인 추측 표현입니다.

### ANSWER
F"
